"date","pce_nom","gdp_nom","pce_defl","gdp_defl","cpi","ur","m1","m2","policy","cmr_1d","gov_10y","kospi","kosdaq","reer","rrppi","xr_usd","hfwh"
"1984-10-01",11695900,20847400,26.7718335063498,31.3259514340739,30.7427117995625,3.7520200034335,11259000,35214800,,10.8333333333333,15.0666666666667,,,,108.128057885855,819.446666666667,58278665.7131077
"1985-01-01",11909600,21174400,26.8062228320681,31.0544439126724,30.7533910746102,3.73478906373852,11659300,36182800,,9.36666666666667,15,,,,109.108815209606,838.723333333333,60097363.9180096
"1985-04-01",12264300,22144400,26.9545367233,31.716338160492,30.9749138419438,4.166776218567,12457000,37928800,,9.46666666666667,14.3666666666667,,,,110.097925190302,867.043333333333,62378585.9328447
"1985-07-01",12844300,23184600,27.5529701218037,32.7646875283356,31.2522696725191,4.10771389619839,13006800,39323100,,9.5,12.9333333333333,,,,111.071883839794,882.946666666667,66015316.6811327
"1985-10-01",13192600,23773600,27.8177939167305,32.5623721487162,31.6450913832495,4.18381480822874,13858400,41589800,,9.06666666666667,12,,,,112.010003763552,891.366666666667,69766984.9844916
"1986-01-01",13405200,24822000,27.6628985552723,33.4608384599916,31.8802088991106,4.3870488650341,15691300,45074200,,9.33333333333333,11.0666666666667,,,,117.515084558511,887.096666666667,72778215.7950478
"1986-04-01",13741900,25660800,27.6337448049488,33.2207779472335,31.9678467863506,3.79249633592179,16497000,47694800,,10.3666666666667,11.7333333333333,,,,115.601743374328,887.05,77097138.6535012
"1986-07-01",14310100,27170400,28.0009032120582,33.6397721738326,32.0983816389122,3.46685040659666,17554700,50419100,,9.83333333333333,11.8333333333333,,,,114.424407240588,882.173333333333,81430817.0088894
"1986-10-01",14541200,28091400,27.8252592490381,34.2604301772794,32.1057114390527,3.38369481512564,18698100,53899500,,9.26666666666667,11.6333333333333,,,,114.573201082932,869.503333333333,85726663.6014598
"1987-01-01",14978100,28984400,28.3664146319818,34.3584231827629,32.1576287305415,3.39771945897589,19116900,57917700,,8.8,11.8333333333333,,,,113.060496060411,855.686666666667,90787355.2757477
"1987-04-01",15523700,30739000,28.5765418376478,34.569258783633,32.7256779693203,3.32159903061908,21158700,63216500,,8.6,12.4666666666667,,,,110.803044834829,827.783333333333,97336909.8738313
"1987-07-01",16039000,31854400,29.0753188522842,35.4250676511762,33.2161628691071,2.98537033531852,22794600,66652600,,9.2,12.3666666666667,,,,111.112870133181,807.543333333333,101928532.066613
"1987-10-01",16659200,33650300,29.3787166631888,36.7786421918481,33.8632517893165,2.55540964278631,23525800,70167400,,9.1,13.0333333333333,,,,115.335235343394,799.243333333333,109839697.295378
"1988-01-01",17284100,36001300,29.9609972978314,36.5829487843187,34.5814129125188,2.40478227376446,23894400,75982200,,9.3,12.8333333333333,,,,117.185154609137,771.463333333333,114613045.081989
"1988-04-01",17910500,36240500,30.2656986244403,37.5037679940326,35.0657418495415,2.48954988303356,25866300,81415200,,9.5,12.1666666666667,,,,121.280967354223,735.643333333333,119053562.110672
"1988-07-01",18610000,38016300,30.6029070928954,38.0503326259625,35.5723328524663,2.66848442575494,27463600,87169600,,10.3,13.8833333333333,,,,124.008886838495,722.953333333333,125382893.690593
"1988-10-01",19422300,40042300,31.1562329838099,38.9603517920023,36.1777897672694,2.5550757297508,28308200,90917500,,9.36666666666667,13.2666666666667,,,,123.023176194928,695.793333333333,132709719.052024
"1989-01-01",20197400,40449900,31.481977405412,39.3675913203942,36.5233784128908,2.57978027770886,28541800,96222500,,11.7,12.5,,,,126.182714370698,677.46,138310262.21567
"1989-04-01",21082000,41412700,32.0759960053232,39.6397306748653,37.0135316261784,2.6534716070629,30012900,99746100,,13.4,15.9,,,,133.522854471949,666.876666666667,144044936.174761
"1989-07-01",21868400,42898200,32.4634046167399,39.9233548235896,37.5862684570956,2.50300588617842,30837900,105619800,,13.2666666666667,15.6333333333333,,,,132.223822068982,668.563333333333,152552090.347388
"1989-10-01",23048500,45947700,33.3264882819586,41.1890364274845,38.3377919194544,2.5635376479871,33730800,114191800,,14.7333333333333,14.9333333333333,,,,132.213915429348,672.923333333333,174346957.812342
"1990-01-01",24108700,48114900,33.9743738880768,42.6846126707307,39.3162497221014,2.48941124918858,36679600,122739800,,11.8666666666667,14.3333333333333,,,,135.363255593731,690.36,182274542.691831
"1990-04-01",25255900,50266900,34.826578756177,43.610627244015,40.2420370795194,2.33780684556239,38329700,128388800,,15,14.7,,,,141.06054462237,710.206666666667,191883588.56037
"1990-07-01",26422800,53343100,35.679804503754,44.6955851974592,40.9671822736691,2.45233630381721,38974600,133746000,,14.5,14.9666666666667,,,,142.091612135634,715.48,203099985.102528
"1990-10-01",27673600,54987800,36.5725003925741,45.2116333402083,41.7535995241006,2.50907315425794,42272400,143728700,,14.7333333333333,16.1,,,,146.652259952166,715.016666666667,216987681.307811
"1991-01-01",29173500,58488800,37.9261996352527,46.3928449367972,43.137582857084,2.40452464126799,43648700,150641600,,13.8933333333333,16,,,,144.89956172832,721.62,229214662.974622
"1991-04-01",30527100,60972100,38.7017925577749,47.5521379275544,43.8042520920458,2.2433734347643,45991500,157057600,,16.6433333333333,16.3,,,,146.996078621812,725.326666666667,238501528.669488
"1991-07-01",32196600,63709200,39.6314718498508,48.5805681684478,44.7884153312884,2.29162144256583,48311600,165684300,,18.62,16.6333333333333,,,,142.43873301849,733.273333333333,250237474.02477
"1991-10-01",33662300,66794900,40.6316678527767,49.6548240786298,45.6956964970729,2.35241064795145,51779200,171544000,,17.3433333333333,16.9,,,,136.611977807185,753.096666666667,265275100.498693
"1992-01-01",34655100,68633700,41.4061467603414,50.15392681907,46.2090702555548,2.36484547946953,53442300,181428900,,14.4633333333333,16.3666666666667,,,,131.028906506088,766.53,276026199.641267
"1992-04-01",35927000,71174100,42.1981977508219,51.6216793697956,46.877509535272,2.34959386532785,55901700,188854400,,14.89,16.1333333333333,,,,126.077140671855,783.376666666667,287165268.503999
"1992-07-01",36911400,72366400,42.8726575721194,52.4233520014478,47.4933697867881,2.42259308822511,58638500,198460200,,14.8966666666667,14.8333333333333,,,,122.869040537095,787.34,299125985.564468
"1992-10-01",38131200,74263300,43.3683132561418,52.9639440206565,47.8607235316883,2.48860303587849,62124700,208878600,,12.7866666666667,13,,,,122.560380725758,785.436666666667,314315050.033248
"1993-01-01",39610800,76878400,44.1988878326427,53.7131301081843,48.3294332412249,2.65170667519801,65965800,220610100,,11.37,12.2133333333333,,,,119.918221661062,793.896666666667,324469938.344789
"1993-04-01",40717400,80415100,44.9421641807166,54.8009849933523,49.0841938802411,2.99246908276504,67821400,229326900,,11.5966666666667,11.4,,,,116.510434750938,799.486666666667,336741297.44599
"1993-07-01",42024000,82800600,45.4776730024468,55.4130209007155,49.6095670356483,2.77003858149759,74462700,240657000,,13.3133333333333,12.4833333333333,,,,114.110114242009,807.86,354282144.050286
"1993-10-01",44021400,85553700,46.4911722097988,56.1499334702968,50.4615750372434,2.78356584383202,72851800,245569400,,11.6233333333333,12.2266666666667,,,,112.436863383069,808.91,367470784.720336
"1994-01-01",47243800,90883700,48.4581687517433,57.9281267388792,51.4626490383875,2.57324928008173,75590700,261728000,,11.15,11.9666666666667,,,112.3741735421,109.33686216902,809.083333333333,384229589.987088
"1994-04-01",48879800,94066300,49.3183177204617,58.9746464241845,51.9706142048291,2.45400589037704,79926500,276755900,,11.95,12,,,111.075941740241,107.663222814408,807.25,401363606.46161
"1994-07-01",50827600,97731300,50.2564406013327,60.3002381037275,53.0582406192833,2.33117619663102,81371800,286946800,,13.28,12.2,,,109.832338504302,105.713654408819,803.103333333333,421153168.610051
"1994-10-01",52665700,102315300,50.532069971859,60.6706950254784,53.3605938429202,2.18571449565328,83616800,297561600,,12.75,13.0333333333333,,,109.019336905613,105.932474596025,795.65,443572315.63329
"1995-01-01",55532200,106647400,51.4430613212847,61.872873802147,53.8918284419231,2.08106620430547,87076200,310961300,,14.1666666666667,14.0333333333333,,,109.993010757007,104.119073923442,786.633333333333,457515594.575147
"1995-04-01",57863300,111663800,52.4297473339235,63.5710887797559,54.509338414923,1.98399371852502,89476800,329349700,,12.8866666666667,13.4,,,108.49233191674,102.624628197501,763.313333333333,474380683.797264
"1995-07-01",60160200,116324600,53.5610106542151,64.8603065507124,55.1574458603192,2.0060292847721,89517500,345439400,,11.3666666666667,12.0333333333333,,,112.345252536613,101.578409353033,765.773333333333,491640177.467526
"1995-10-01",61974400,117551300,53.8800952918954,64.3247971170447,55.688772334565,1.9803812515106,96576700,366621600,,11.1033333333333,10.1333333333333,,,114.154422102075,101.175830713011,769.296666666667,517985507.054864
"1996-01-01",64351300,122197900,54.9408809273812,65.5508858427868,56.3926807377576,1.8937983111603,97770500,382131100,,10.4833333333333,10.5,,,114.916008579898,99.7092595515303,782.933333333333,529012190.065003
"1996-04-01",67109400,125187100,56.1503391148676,65.8855145079178,57.2054826083007,1.97267821406525,102200900,400530700,,11.08,10.4333333333333,,,115.908963101617,98.3257293399216,786.183333333333,548477685.998807
"1996-07-01",68516500,128777500,57.0959045537266,66.5468561201046,57.9797588137845,1.9677087117972,105486600,414432900,,14.08,11.3133333333333,,,112.387027322317,97.4594811154682,817.11,570402690.29011
"1996-10-01",71424500,131605800,57.5195824873208,66.8345209242757,58.4633734155545,2.18967641484631,109948900,428974200,,13.75,11.34,678.869160970052,,110.921696377644,97.6815063919678,831.603333333333,594103790.4493
"1997-01-01",72194300,132944000,58.5710387958708,67.1898443919027,59.0236838282433,2.64699899681183,115742800,447989700,,11.93,11.2533333333333,674.42114658043,,110.719249339235,98.0639803809686,865.38,614896726.389306
"1997-04-01",74511500,138233100,59.2407344253281,67.4943343102,59.5588790503042,2.57075888056801,117752200,471436500,,12.1833333333333,11.2866666666667,723.0458984375,,108.068157169598,97.6784955505105,891.7,637538426.246013
"1997-07-01",76363100,142223200,60.1340714031459,68.7699593452157,60.3058726799436,2.32206889817966,124162100,490967100,,12.3233333333333,11.3666666666667,724.910163254034,,109.684520031813,96.7311488545448,898.643333333333,661586668.885722
"1997-10-01",77337700,147101700,61.4924924472495,71.5664276145772,61.3666272996276,2.78435983374205,124650800,514939400,,16.2833333333333,12.8933333333333,495.771999104818,,92.2837150638271,95.269725260717,1143.83666666667,684294158.288912
"1998-01-01",69062600,141940800,63.726838127624,74.0257947223792,64.2875326771858,4.85015181188517,105335100,558275000,,23.7466666666667,15.6766666666667,509.613052626788,,69.5132434104292,87.9192900241596,1611.71333333333,706539567.656514
"1998-04-01",68776100,136678400,63.2059846858047,71.841886593784,64.4587287507628,6.95618047383822,101218600,587501000,,18.7533333333333,14.8866666666667,372.439678069084,,80.3264860174972,81.4301496922386,1394.59,721831476.829493
"1998-07-01",70378300,138052000,63.2177042611703,71.1711767946664,64.5600402671068,7.86614335052017,117618900,621343900,,10.2333333333333,11.9266666666667,317.911845515325,,85.7636350490452,79.6125726911824,1324.93,731612263.369123
"1998-10-01",72766500,140115800,63.8570918816069,70.4783917332022,65.0016788820236,7.94512014514992,117883000,636762400,,7.2,8.69666666666667,434.842498779297,,84.1761931923166,78.4185312435504,1281.5,745540343.039702
"1999-01-01",76034600,145356100,64.5773398979444,70.9119119299867,64.7355148602077,7.28651929884002,128647200,664618600,,5.66,8.10666666666667,574.37017046395,,90.6673522016115,79.5094270902888,1197.63666666667,763034038.619958
"1999-04-01",78403300,148804000,64.4871068232834,69.5755947054605,64.8600621980135,6.96599536354067,147921800,673095700,4.75,4.78666666666667,7.87333333333333,770.82555280413,,92.3383436297469,79.9087035170999,1191.85666666667,780435872.911026
"1999-07-01",82429100,157025300,65.2357892600117,71.3695904782793,64.9864803927446,6.36666666666667,156970800,677834300,4.75,4.74,9.12,944.323278427124,,90.6962732070985,80.6946302613847,1194.26666666667,799014485.81854
"1999-10-01",86198400,161883900,65.9317966314683,71.6593481574709,65.8314172905097,5.26666666666667,166842300,669798800,4.75,4.76,9.76666666666667,920.515237475198,,91.5799705969778,80.3687795165657,1173.99666666667,810462754.455387
"2000-01-01",90233600,164844800,67.7220191713094,71.5429300092589,65.9856538707169,4.76666666666667,172859500,683311200,4.91666666666667,4.95333333333333,9.3,910.436775453629,,96.6186524418166,80.1921111097622,1125.68666666667,839152987.67591
"2000-04-01",90281600,166144700,66.8352063940045,71.0129718248914,65.8890881364758,4.33333333333333,184441600,686899300,5,5.10333333333333,9.03666666666667,765.199659444518,,98.2735766446813,80.573905231337,1116.16666666667,850711201.406459
"2000-07-01",93190600,171511600,68.4719789558955,71.3477416516298,66.9150734167464,4.23333333333333,182615500,697329900,5,5.12,8.10666666666667,715.710168457031,,100.426584830933,79.5045708943899,1115.31,870326693.068503
"2000-10-01",95249700,173231400,69.5780727639011,72.303365811621,67.5131445449016,4.2,191344800,704065600,5.25,5.33,7.76333333333333,540.45699818929,738.360781202129,97.9329514689461,78.8469448457551,1164.28666666667,885901730.272893
"2001-01-01",96938000,178437200,70.544274856298,73.734432343431,68.4286441566407,4.53333333333333,201026200,717620700,5.08333333333333,5.14333333333333,6.68666666666667,573.416333007813,753.846663411458,91.5606899266531,77.3357938059221,1271.23,901612007.708587
"2001-04-01",100476800,182705600,70.4590236720336,74.3767151080031,69.2046609586885,3.93333333333333,210716900,738363600,5,5.01,7.48666666666667,578.710968509797,775.048388081212,91.9334495529294,77.8763855333924,1305.94666666667,921120105.979407
"2001-07-01",103122900,185829200,71.1923729030884,74.6969350581548,69.7398798356209,3.73333333333333,231949600,765193100,4.41666666666667,4.56666666666667,6.43666666666667,542.944445413256,645.363496326265,93.0517284317585,80.4708567543615,1293.89666666667,948806632.577607
"2001-10-01",105883500,185751100,71.5360160339396,73.5476401060832,69.7591061557794,3.7,245247900,763847000,4,4.01,6.81,597.159344782595,665.198360255507,93.398780497602,82.9451856887907,1292.08666666667,974896237.199271
"2002-01-01",110847300,196909900,72.1731505927165,75.8529968680188,70.1641959933536,3.46666666666667,264984700,798918700,4,4,7.09,791.800677800583,800.506781109309,93.63978887666,86.8581140963226,1319.61,1000627050.26389
"2002-04-01",113979800,202265700,72.72569783859,76.4606518510366,71.0615570210192,3.26666666666667,261037200,821128200,4.16666666666667,4.18333333333333,7.05,842.970495005123,759.047539382684,96.7600440241972,89.0789496048271,1269.48666666667,1027755863.45539
"2002-07-01",115739100,204331400,73.4934172512278,75.833087668971,71.4627660541483,3.13333333333333,267525400,848773900,4.25,4.29,6.31333333333333,723.628546930129,581.661291799238,100.159868891442,91.8735932207505,1196.66333333333,1050897475.1105
"2002-10-01",117090900,209718400,74.406229233319,77.1041833201305,72.0972261516653,3.1,280846700,871564100,4.25,4.29666666666667,5.89333333333333,672.584354523689,489.959676927136,98.7877278533384,93.9031917347546,1220.65,1082749267.70058
"2003-01-01",117591300,211994300,75.1775368879212,78.3620014302017,73.0304863280869,3.26666666666667,277142000,887466400,4.25,4.27333333333333,5.26,591.088225333921,425.856450726909,98.8616370895828,92.8332746542995,1200.95333333333,1082997365.55322
"2003-04-01",117276900,213958000,75.4001093942816,79.035606809587,73.4127951732744,3.53333333333333,275001000,880029800,4.08333333333333,4.10666666666667,4.72333333333333,619.819015753074,451.788524690222,96.933570057119,95.0608117131445,1208.87333333333,1123421334.99415
"2003-07-01",118052600,216793600,75.665157446419,78.8226376074651,73.6980758807192,3.66666666666667,281080100,889643200,3.75,3.77,4.99333333333333,724.820003321913,493.773771692495,99.9027932871133,96.4539571926331,1175.39333333333,1142964733.95556
"2003-10-01",119769300,225364700,76.6779338755695,79.901561446577,74.6478690655841,3.8,295032300,895639800,3.75,3.77,5.21666666666667,781.707301548549,462.514286586216,96.5672373209509,96.6509244982943,1181.36333333333,1168605207.56023
"2004-01-01",120832700,230492200,77.4437848237562,80.5729129531286,75.4163375068572,3.5,307305000,911447100,3.75,3.76666666666667,5.37,863.854667154948,439.044667561849,96.4547667440571,94.4535929779407,1172.45,1188859440.82807
"2004-04-01",121556800,234608800,77.6863359834615,81.3336931712091,75.924461731322,3.6,304804300,923962300,3.75,3.75666666666667,5.14,824.512787365523,417.558032426678,98.5981345951461,94.0016753875851,1162.29,1195723381.53918
"2004-07-01",123364700,237374200,78.7139948910887,82.0824028732623,76.8621858558496,3.73333333333333,298608500,941989400,3.58333333333333,3.63333333333333,4.45,781.629050602989,356.532857743521,99.9317142926002,92.2144981728563,1154.87666666667,1227221721.10877
"2004-10-01",125044700,240410100,78.9388841181491,82.4563488530772,77.1654397041104,3.76666666666667,318060000,953841500,3.33333333333333,3.38,3.95333333333333,861.953386042668,369.983383882963,102.328944302964,91.3872937634304,1095.38,1244262667.69591
"2005-01-01",126937400,242443900,79.3369993193732,82.3827135716967,77.8834931995307,3.66666666666667,334382800,969658200,3.25,3.25666666666667,4.69,951.791165161133,466.309498596191,109.154301597886,89.8017458024257,1022.71666666667,1270128367.00819
"2005-04-01",130531100,246146800,79.6697995621987,82.1015772771618,78.1940278716454,3.73333333333333,345037800,995096200,3.25,3.27333333333333,4.52333333333333,962.013544882497,459.408869589529,112.126738272934,90.764438077432,1008.00666666667,1303985833.50175
"2005-07-01",132762800,251198600,80.0601672427027,82.6266429731771,78.6419581605631,3.83333333333333,341871500,1013018500,3.25,3.25,5.04,1110.38390827179,526.691406726837,111.034166954538,92.0574487974845,1029.31333333333,1350900897.72632
"2005-10-01",135324100,255386200,80.7484592221628,83.0511155962156,79.0606655559589,3.7,325588600,1017302300,3.58333333333333,3.54333333333333,5.54666666666667,1261.96730259487,656.00301203652,111.397286245652,92.2828734111134,1037.27666666667,1412220019.88772
"2006-01-01",136439300,256208900,80.619612067232,82.0148877610549,79.5160013880546,3.46666666666667,327706700,1038058300,3.91666666666667,3.87666666666667,5.42666666666667,1350.76316809276,674.212694924975,117.608875535239,92.2793769500662,977.446666666667,1423273058.88187
"2006-04-01",139323300,257867800,81.2659553671775,81.9544278033977,79.9513840161119,3.46666666666667,342682200,1075247300,4.08333333333333,4.03333333333333,5.3,1349.64114129739,643.478852819224,118.894253556882,93.7905279898991,950.333333333333,1443009622.59649
"2006-07-01",141174800,264056700,81.4181281231123,82.6263834068002,80.6139211039596,3.5,336079400,1112574300,4.41666666666667,4.36666666666667,4.99666666666667,1317.47317553323,571.422696552579,118.756075419555,94.149400866831,954.85,1487166645.71696
"2006-10-01",143761500,267529800,81.6987858935581,83.0236413292941,80.735836069722,3.5,361484400,1144573100,4.5,4.48,4.88333333333333,1392.84849446615,598.36050008138,119.469460221567,98.7151962510168,938.733333333333,1532351417.1883
"2007-01-01",145742900,274061700,81.7909128288216,83.5692716666565,81.1195928496528,3.2,313675600,1160311500,4.5,4.61,4.99666666666667,1414.03459192495,607.546229628266,118.765715754718,101.246731173136,938.88,1554005146.07251
"2007-04-01",149860300,280666000,82.747643426565,84.1584569897491,81.9062024544352,3.3,309469100,1193136800,4.5,4.61333333333333,5.25666666666667,1626.75678277785,721.38080523091,118.797850205259,100.676419526764,929.243333333333,1641904996.74386
