"date","pce_nom","gdp_nom","pce_defl","gdp_defl","cpi","ur","m1","m2","m4","m4_ex","policy","sonia_1d","gov_10y","gov_20y","ukx","asx","reer","rrppi","xr_usd","hfwh"
"1913-07-01",,,,,,3.5277405648085,,,1184.70883867639,1047.48578511971,,,,3.437,,43.9221902233468,,,,
"1913-10-01",,,,,,3.54342037875313,,,1214.37053047259,1073.71180750156,,,,3.48366666666667,,42.8280064010965,,,,
"1914-01-01",,,,,,3.51703266177354,,,1215.037215922,1074.30127177212,,,,3.336,,43.8396103122335,,,,
"1914-04-01",,,,,,3.27580498929324,,,1215.79614460052,1074.97229487645,,,,3.37333333333333,,43.3544533344433,,,,
"1914-07-01",,,,,1.88692933213182,3.39454175879691,,,1300.30811843054,1149.69537312938,,,,3.61,,43.0082680245678,,,,
"1914-10-01",,,,,1.981555271115,2.45262059013629,,,1390.96355181793,1229.85032320409,,,,3.61,,43.0082680245678,,,,
"1915-01-01",,,,,2.07042893537064,1.54588592702895,,,1424.67968928198,1259.66117087379,,,,3.70333333333333,,37.1990603074413,,,,
"1915-04-01",,,,,2.21078078491443,1.0163572477097,,,1459.19491294501,1290.17854778274,,,,3.787,,36.1493767347922,,,,
"1915-07-01",,,,,2.28205346818756,0.721725079388747,,,1477.1610834442,1306.06372361376,,,,3.846,,32.3532608008284,,,,
"1915-10-01",,,,,2.37080458691306,0.516031745872593,,,1495.36113136556,1322.1556871948,,,,4.09566666666667,,32.1807100765572,,,,
"1916-01-01",,,,,2.46625635319359,0.409016719541153,,,1536.06119276183,1358.14152132913,,,,4.29233333333333,,33.0147052438675,,,,
"1916-04-01",,,,,2.58365058883738,0.329434136697679,,,1577.995156115,1395.21833640148,,,,4.27966666666667,,34.366352583991,,,,
"1916-07-01",,,,,2.67473429211263,0.275032822480203,,,1645.27181340888,1454.70243906458,,,,4.196,,37.9036424315482,,,,
"1916-10-01",,,,,2.84815827828335,0.306516321280957,,,1715.53679934398,1516.82873673016,,,,4.498,,36.681408134628,,,,
"1917-01-01",,,,,3.04591903401072,0.430784404501977,,,1722.38740705012,1522.88584878787,,,,4.77,,35.4160361566401,,,,
"1917-04-01",,,,,3.20534705682926,0.540774060617051,,,1729.28723193284,1528.98647727016,,,,4.55266666666667,,36.3938235941762,,,,
"1917-07-01",,,,,3.27844668076002,0.485552926025561,,,1859.34594751026,1643.98068626964,,,,4.50666666666667,,37.8317462964353,,,,
"1917-10-01",,,,,3.26440242064754,0.422888608855399,,,1999.55155663161,1767.94648930421,,,,4.49966666666667,,38.6801206907681,,,,
"1918-01-01",,,,,3.44411303725012,0.335758504630713,,,2042.20985279635,1805.66373880148,,,,4.59066666666667,,39.2984274527395,,,,
"1918-04-01",,,,,3.61405071418367,0.419938904772312,,,2085.71479659863,1844.12957000624,,,,4.47466666666667,,37.9899177936837,,,,
"1918-07-01",,,,,3.75719669707327,0.610057966942523,,,2280.67752795844,2016.51005967633,,,,4.30633333333333,,41.455311506128,,,,
"1918-10-01",,,,,3.91923557585136,1.23424462365444,,,2494.23141667996,2205.32832074607,,,,4.343,,43.9429177810362,,,,
"1919-01-01",,,,,3.93527376590406,2.31442650248596,,,2545.28779452093,2250.47091467478,,,,4.892,,44.8488090834594,,,,
"1919-04-01",,,,,3.81973497999194,3.08442791891946,,,2597.43343241573,2296.5766012938,,,,4.65533333333333,,45.3664612562726,,,,
"1919-07-01",,,,,3.93485122409005,3.42022330471259,,,2733.10365594726,2416.53234567068,,,,4.37566666666667,,47.5377245366838,,,,
"1919-10-01",,,,,4.03759890199818,3.26092227388196,,,2875.88577277179,2542.77622337323,,,,4.62566666666667,,47.2932776772997,,,,
"1920-01-01",,,,,4.22200690975897,1.74144369166288,,,2924.22927246187,2585.52016777132,,,,5.14833333333333,,47.6239998988193,,,,
"1920-04-01",,,,,4.60517429644577,0.855171246754757,,,2973.33849680331,2628.9411440792,,,,5.30266666666667,,40.7075917009533,,,,
"1920-07-01",,,,,4.71631545511446,1.64327053237846,,,3010.49231949359,2661.79149503499,,,,5.41266666666667,,36.8683380859217,,,,
