"date","pce_nom","gdp_nom","pce_defl","gdp_defl","cpi","ur","m1","m2","m3","policy","nowa_1d","nibor_3m","gov_10y","reer","rrppi","xr_usd","hfwh"
"1972-10-01",,,,,,1.9,11951.1218709756,48166.3847802997,,,,,,,28.2216796076235,6.59747924100023,
"1973-01-01",,,,,,1.3,12112.1423540863,49570.5053741745,,,,,,,28.7984694227078,6.25766666566667,
"1973-04-01",,,,,,1.6,12434.6494970002,51476.6283962506,,,,,,,29.4380368220426,5.76433333233333,
"1973-07-01",,,,,,1.8,12861.001832058,52486.6986409979,,,,,,,28.1179637309981,5.451999999,
"1973-10-01",,,,,,1.5,13338.012632142,53996.3121157667,,,,,,,26.4925557493597,5.58933333233333,
"1974-01-01",,,,,,1.3,13403.5946863129,55157.9482237304,,,,,,,25.5876783213473,5.80833333233333,
"1974-04-01",,,,,,1.3,13810.4356690343,56445.0160644467,,,,,,,26.9853930013789,5.426999999,
"1974-07-01",,,,,,1.9,14354.2324603896,58356.6746627857,,,,,,,27.3579065502513,5.49066666566667,
"1974-10-01",,,,,,1.3,15099.8227160208,59973.4944191149,,,,,,,27.5719814341107,5.43283333233333,
"1975-01-01",,,,,,1.6,15884.577187617,61820.2826265209,,,,,,,27.2268707989984,5.010899999,
"1975-04-01",,,,,,2.3,16817.3865464146,64305.8129757705,,,,,,,27.7950245442916,4.94726666566667,
"1975-07-01",,,,,,2.7,17580.5591627751,67274.7964749835,,,,,,,26.4696369487603,5.41683333233333,
"1975-10-01",,,,,,2.6,17996.7569385689,68708.8658137946,,,,,,,25.461790996316,5.53276666566667,
"1976-01-01",,,,,,1.9,19136.8774111847,71538.3059830164,,,,,,,23.8754944461352,5.541999999,
"1976-04-01",,,,,,1.9,20173.7458513392,74951.653303012,,,,,,,26.0806816516317,5.51083333233333,
"1976-07-01",,,,,,1.9,20558.662229308,77034.2109000568,,,,,,,25.6798517585405,5.50776666566667,
"1976-10-01",,,,,,1.4,21124.3067438883,80719.3679692561,,,,,,,25.2800183350405,5.26546666566667,
"1977-01-01",,,,,,1.3,23446.6936703333,85606.7965582325,,,,,,,27.6994465026616,5.26993333233333,
"1977-04-01",,,,,,1.9,23234.0552977694,88109.0239883314,,,,,,,28.2253333294582,5.28066666566667,
"1977-07-01",,,,,,1.3,23774.8353609105,91606.7941512974,,,,,,,27.8252507885604,5.34806666566667,
"1977-10-01",,,,,,1.3,24320.3528340002,94580.1023061633,,,,,,,27.3613111546882,5.39533333233333,
"1978-01-01",29407,58035,24.7010863320482,19.3480128397946,,1.6,24872.2418262476,96985.1214900127,,,,,,,28.5077494194527,5.24606666566667,
"1978-04-01",30411,59290,25.3958440511134,19.5628800422656,,1.5,24748.2729686481,98866.6414783505,,,,,,,28.7100327464819,5.405499999,
"1978-07-01",30982,62436,25.5689299945529,20.4426070866367,,2.3,25371.3617864836,101622.434452429,,,,,,,28.5397194855061,5.28776666566667,
"1978-10-01",31075,64126,25.8108393697753,20.9780585122774,,1.9,26323.2524228374,105224.90499234,,,,,,,28.9477737831342,5.02966666566667,
"1979-01-01",31959,63071,26.0008901106511,20.3940209067122,25.4,2.1,26487.8279597282,108111.197290932,,,,9,,,29.7495996475819,5.08573333233333,
"1979-04-01",33322,66136,26.5601328907208,20.9847253847328,25.7,2.1,27480.0032282311,112009.463340511,,,,9.1,,,29.7607268913512,5.162499999,
"1979-07-01",33814,68908,26.9364227955825,21.5027782507154,26.0333333333333,2.1,29068.7083554237,116136.467134154,,,,10.8,,,29.0965799087649,5.01863333233333,
"1979-10-01",34713,70953,27.4118817392147,22.0124144914398,26.4333333333333,1.6,28691.3945459275,119050.196451113,,,,13.9666666666667,,,28.8131673491791,4.989399999,
"1980-01-01",35658,76953,27.9901961496078,22.9432272701159,27.3666666666667,1.5,29687.1292400702,121913.366554233,,,,12.7,,,27.3255212885348,4.94676666566667,
"1980-04-01",36442,78440,28.7650976481883,23.702075696923,28.3333333333333,1.4,30503.9955900681,125668.145276325,,,,12.4666666666667,,,28.3928232599254,4.942499999,
"1980-07-01",37969,79524,29.7031315704651,24.3129978869391,29.2333333333333,2.1,31311.7495901858,129840.93723568,,,,11.7,,,29.4331375132188,4.84123333233333,
"1980-10-01",39511,83362,30.6305556281264,25.1374458465361,29.9,1.6,32714.4881179743,134857.091479092,,,,12.0666666666667,,,30.4021211516033,5.026399999,
"1981-01-01",40191,86656,31.4719360276279,25.6940851737567,31.4,1.8,32071.2451491148,136696.818081656,,,,12.1666666666667,,,30.8788488118968,5.350099999,
"1981-04-01",41561,91869,32.5175392051122,27.1667642275732,32.3,2,34286.0668826266,142290.949773192,,,,12.5333333333333,,,32.8776837728664,5.68363333233333,
"1981-07-01",42833,92886,33.8519018739136,27.6915182429779,33.2,2.4,35431.1234017035,147413.878168902,,,,13.3666666666667,,,33.8524801505333,6.08516666566667,
"1981-10-01",44930,93603,34.4551178193925,27.9098497985802,33.6,1.8,35195.8578115041,149629.94165127,,,,14.4333333333333,,,34.7174987948946,5.83913333233333,
"1982-01-01",45378,96868,35.187185662485,28.7278424435279,35.1333333333333,2,36909.6075293144,154789.091686871,,,12.6,14.3333333333333,,,35.4638545187612,5.95133333233333,
"1982-04-01",47355,99504,36.3426851158161,29.5076138646437,35.8666666666667,2.4,38021.5396362262,158169.821226559,,,20.9,16.5,,,37.0825363306585,6.077099999,
"1982-07-01",48659,102883,37.5079957468106,30.5155088305586,36.8,2.8,39087.3687759854,161315.972552435,,,14.6333333333333,15.4,,,36.586377513335,6.641599999,
"1982-10-01",49381,105070,38.2201292943639,31.0998549313559,37.5,3.2,39696.6974280997,164988.43725193,,,14.3333333333333,15.2333333333333,,,36.3149225888446,7.146099999,
"1983-01-01",51253,108331,38.9813667239076,31.189450758665,38.5666666666667,3.6,40685.0853204041,167612.416777533,,,12.5666666666667,13.7666666666667,,,35.5254695551552,7.10993333233333,
"1983-04-01",51795,111145,39.4019629962356,31.7748019704278,39.1333333333333,3.7,41664.8195367608,171987.8474188,,,13.0866666666667,13.4333333333333,,,35.0051463502433,7.16973333233333,
"1983-07-01",53664,113986,40.3527852403125,32.2994047110731,39.6666666666667,3.8,43532.6996859044,175478.636107022,,,12.2033333333333,13.0666666666667,,,35.2080109512008,7.40316666566667,
"1983-10-01",54095,116196,40.8155207760504,32.9176554892922,40.2333333333333,2.6,44653.9397775396,180833.408930087,,,12.5766666666667,12.9333333333333,,,35.5307010205094,7.50263333233333,
"1984-01-01",55699,120188,41.700922214938,32.819275191132,41,3.2,45875.6937345453,186647.147864929,,,12.77,13.1666666666667,,,35.8156082844821,7.68896666566667,
"1984-04-01",56808,125234,41.841158065713,34.0617579061327,41.6666666666667,3.3,48526.671723239,193586.89985855,,,12.7733333333333,12.9333333333333,,,36.3425746200026,7.74113333266667,
"1984-07-01",58253,130012,42.5923949965773,34.7158266907631,42.1,3.6,52040.6979980723,203692.51727855,,,12.2266666666667,12.8333333333333,,,36.2967370188038,8.36613333266667,
"1984-10-01",59913,131053,43.0362129328521,34.5285691717478,42.6333333333333,2.5,56222.9942545193,217576.834061313,,,12.8,13.1333333333333,,,35.5833478305819,8.84959999933333,
"1985-01-01",63321,134927,43.4400770034507,34.5080242836423,43.3333333333333,3,58170.0972825625,219987.255030015,,,11.6933333333333,12.5,12.6833333333333,,34.8969463604571,9.36676666666667,
"1985-04-01",65092,136198,44.213335456964,35.1452898126355,44.0666666666667,2.3,59467.6267622516,224330.479528238,,,12.97,12.6,12.8866666666667,,35.0269856421188,8.893666666,
"1985-07-01",67829,144877,45.121399160297,36.6983748779025,44.5333333333333,3.1,63043.1863240919,235352.130175963,,,11.9233333333333,12.5333333333333,13,,36.0458757991997,8.342333333,
"1985-10-01",70249,146401,46.1209127601988,36.853227847471,45.0333333333333,2,66669.0568639128,247762.780508392,,,11.76,12.4666666666667,13.0766666666667,,37.757810557014,7.78616666666667,
"1986-01-01",71774,144149,45.9071594169837,35.3798706824673,45.8333333333333,2,64878.4382118524,243252.059270175,,13,13.4533333333333,13.2333333333333,13.4466666666667,,40.1137137881913,7.3197,
"1986-04-01",75116,140610,47.2145557521898,34.8171107741289,46.7333333333333,1.9,69285.1492402333,246452.557269635,,13.6666666666667,16.73,14.2933333333333,13.1133333333333,,42.9682670106701,7.40296666666667,
"1986-07-01",75023,145542,48.5594719111126,35.4419556952017,48.1,2.3,68104.8092242109,246171.426658292,,14,14.3933333333333,14.4566666666667,13.3033333333333,,44.9028296830023,7.3868,
"1986-10-01",77618,151610,49.8298351327599,36.7885913685144,49,1.7,68674.6441103947,253301.883969189,,14.2666666666667,15.6033333333333,15.5833333333333,13.3333333333333,,45.9815910546925,7.4695,
"1987-01-01",78677,152584,50.7142701507298,36.8895846675167,50.4,2.4,84955.039499235,258280.659005749,,14.0333333333333,14.85,15.4333333333333,13.4533333333333,,49.4110241922057,7.03546666666667,
"1987-04-01",79930,159249,51.1614224449043,37.9615060847676,51.2666666666667,1.8,90439.1742667052,265377.981106031,,13.8,14.2733333333333,14.5333333333333,13.4233333333333,,49.5506129741171,6.7112,
"1987-07-01",80596,159882,52.0010655584514,38.7712054653303,51.9,2.2,90247.485341964,274140.96296314,,13.8,14.0666666666667,14.1333333333333,13.1566666666667,,49.3009143023696,6.7302,
"1987-10-01",82942,163160,53.3445404147417,39.1082111737576,52.6333333333333,1.9,98254.5010894489,293473.91542974,,13.8,13.97,14.75,13.1866666666667,,49.0428286782288,6.47293333333333,
"1988-01-01",83595,166582,54.4234494159648,39.9957022350871,53.9666666666667,2.5,102593.649712287,310193.820359366,,13.8,13.89,14.3666666666667,13.32,,48.4627172978402,6.365,
"1988-04-01",83783,165521,54.8485167749893,40.1399654552178,54.8666666666667,2.9,103209.540158893,311186.935785476,,13.3,13.5733333333333,13.5333333333333,13.0166666666667,,47.2522558618362,6.256,
"1988-07-01",83252,165544,54.8788926350216,39.9279397425555,55.3333333333333,3.4,108016.295408549,309547.946166064,,12.8,12.7866666666667,13.3833333333333,12.8333333333333,,45.3886086087499,6.8359,
"1988-10-01",83217,166437,55.2362242155448,40.1061961154855,55.8,3.9,119210.225931939,308524.827979484,,12.2666666666667,12.65,12.7566666666667,12.4133333333333,,43.2342413524085,6.61103333333333,
"1989-01-01",84878,172614,56.4683366487318,41.6169120001197,56.5,5,122876.563680082,313589.634630015,,11.1666666666667,11.4933333333333,11.38,10.9633333333333,,40.3180730935357,6.72326666666667,
"1989-04-01",87427,177959,57.7091231934505,42.582557106161,57.4333333333333,4.8,132094.089433534,324329.230648334,,10.5,11.0733333333333,11.11,10.7133333333333,,38.84886172033,7.00846666666667,
"1989-07-01",87113,178246,57.5074689691821,42.38481569875,57.8333333333333,5.1,137124.730738171,330222.591917153,,10,10.9833333333333,11.1066666666667,10.76,,37.1186583533423,7.0385,
"1989-10-01",88590,179817,58.3960684525063,42.5653126963857,58.2,4.8,139133.512409306,335203.269396572,,10.6666666666667,11.6633333333333,11.92,10.8666666666667,,35.9272128787052,6.84776666666667,
