"date","gdp_nom","gdp_defl","cpi","ur","m1","m3","policy","ibr_3m","gov_10y","reer","xr_usd"
"1986-01-01",,,50.7208387942333,2.7,,408374.61745927,9.5,,,,7.5895
"1986-02-01",,,50.7426823940585,2.9,,408217.080971134,9.5,,,,7.3996
"1986-03-01",,,50.6553079947575,2.9,,410889.721453569,8.5,,,,7.2348
"1986-04-01",,,50.9611183923111,2.6,,413555.670434932,8,,,,7.241
"1986-05-01",,,50.9611183923111,2.8,,425374.755970357,8,,,,7.1514
"1986-06-01",,,50.9611183923111,2.6,,428358.44433899,8,,,,7.2083
"1986-07-01",,,51.0921799912626,2.5,,428455.884035207,8,,,,7.0626
"1986-08-01",,,51.0266491917868,2.6,,436021.514871706,8,,,,6.927
"1986-09-01",,,51.4853647881171,2.6,,440541.868567707,7.5,,,,6.9135
"1986-10-01",,,51.6601135867191,2.6,,438879.97347824,7.5,,,,6.8782
"1986-11-01",,,51.6601135867191,2.7,,445129.177321272,7.5,,,,6.9628
"1986-12-01",,,51.7911751856706,2.6,,452560.108045525,7.5,,,,6.9143
"1987-01-01",,,52.4683267802534,2.3,,448242.595878044,8.7,,11.68,,6.6015
"1987-02-01",,,52.4683267802534,2.4,,452225.448733192,11.5,,11.47,,6.5068
"1987-03-01",,,52.5557011795544,2.4,,448668.176118444,11.73,,11.23,,6.411
"1987-04-01",,,52.6867627785059,2.3,,455558.075361243,8.5,,11.21,,6.3131
"1987-05-01",,,52.7304499781564,2.3,,465502.920597823,8.74,,11.78,,6.247
"1987-06-01",,,52.6212319790301,2.3,,467843.367043402,7.9,,11.78,,6.3427
"1987-07-01",,,53.2546963739624,2.2,,464669.365904175,8.52,,11.77,,6.4345
"1987-08-01",,,53.5605067715159,2.4,,466175.849400194,8.19,,11.97,,6.4844
"1987-09-01",,,54.0629095674967,1.9,,468972.43679522,8.64,,12.02,,6.3752
"1987-10-01",,,54.2813455657492,2,,471078.280770881,8.64,,12,,6.3539
"1987-11-01",,,54.4779379641765,1.9,,476254.032692661,8.67,,11.59,,6.0672
"1987-12-01",,,54.4779379641765,1.8,,471319.830171134,8.2,,11.71,,5.948
"1988-01-01",,,54.7619047619048,2,,472287.99129979,8.2,,11.66,,5.9672
"1988-02-01",,,55.1769331585845,1.8,,475542.10124615,9.05,,11.29,,6.0492
"1988-03-01",,,55.4390563564875,1.9,,479766.334646259,9.27,,11.33,,5.9475
"1988-04-01",,,55.9196155526431,1.8,,477700.295266416,9.27,,11.35,,5.8862
"1988-05-01",,,56.0943643512451,1.9,,481690.928916513,10,,11.53,,5.9023
"1988-06-01",,,56.2691131498471,1.8,,486009.51390197,10,,11.29,,6.0858
"1988-07-01",,,56.5093927479249,1.9,,489375.094217942,10,,11.36,,6.3357
"1988-08-01",,,56.6404543468764,1.8,,491389.290473587,10,,11.56,,6.4744
"1988-09-01",,,57.0554827435561,1.8,,493519.617668421,10,,11.47,,6.4393
"1988-10-01",,,57.5141983398864,1.8,,497416.848654501,11,,11.36,,6.2762
"1988-11-01",,,57.6015727391874,1.7,,502240.254808891,9,,11.05,,6.0881
"1988-12-01",,,57.7326343381389,1.4,,496476.095122934,11,,10.93,,6.0739
"1989-01-01",,,58.4097859327217,1.5,,502485.565051557,10,,10.47,,6.2558
"1989-02-01",,,58.7155963302752,1.7,,514836.637801712,11,,10.52,,6.3154
"1989-03-01",,,58.9340323285277,1.6,,504457.057507002,11,,10.92,,6.37591
"1989-04-01",,,59.5238095238095,1.6,,514717.529656915,11,,11.05,,6.3615
"1989-05-01",,,59.7640891218873,1.6,,510610.941387604,11,,11.05,,6.5879
"1989-06-01",,,59.9606815203146,1.5,,517177.558042505,11,,11.12,,6.6861
"1989-07-01",,,59.9606815203146,1.3,,521184.465710565,12,,11.2,,6.4717
"1989-08-01",,,60.2228047182176,1.5,,525978.517024005,12,,11.01,,6.5384
