"date","pce_nom","gdp_nom","pce_defl","gdp_defl","cpi","ur","m1","m2","policy","ffer_1d","tb_3m","gov_10y","compx","ndx","reer","rrppi","hfwh","hnfwh","hhwh"
"2006-04-01",2306912.25,3438356,86.6946980416885,86.1969406690569,84.9220171018428,4.63333333333333,4991600,6852100,5,4.90666666666667,4.70333333333333,5.07,2235.78047619048,1633.80174603175,99.995535275786,130.630833881794,48268827,30497341000,26004103
"2006-07-01",2338443,3467547,87.318902013853,86.7985769803146,85.7236989459642,4.63333333333333,4996300,6952600,5.25,5.24666666666667,4.90666666666667,4.89666666666667,2140.82,1551.47380952381,99.7740849547723,128.889368527726,49347836,30891591000,26343573
"2006-10-01",2356842,3509890,87.1743676861789,87.1098287685666,85.3720841020513,4.43333333333333,5059300,7080400,5.25,5.24666666666667,4.90333333333333,4.63,2388.64603174603,1750.5046031746,97.8596112118154,129.978544365133,50863998,31076355000,26482443
"2007-01-01",2393034.5,3553912.75,87.9704771573004,87.9378542409104,86.2090680765015,4.5,5095400,7168500,5.25,5.25666666666667,4.98333333333333,4.68,2442.85180327869,1786.02229508197,97.8560394324443,127.417070312424,52176762,30945069000,26298177
"2007-04-01",2419678.25,3600520.5,88.717128200558,88.5494027114601,87.1854321750789,4.5,5164900,7288100,5.25,5.25,4.73666666666667,4.84666666666667,2553.36158730159,1884.50952380952,96.5273375063622,121.351906937134,53158939,30983129000,26282809
"2007-07-01",2449595.75,3641029.25,89.2188752749677,89.0328027639892,87.7373268340846,4.66666666666667,5227700,7413300,5.08333333333333,5.07333333333333,4.30333333333333,4.73,2606.66666666667,1981.92063492063,94.359267428051,117.660782091656,54303813,30892122000,26150629
"2007-10-01",2484285,3678764.5,90.1271550028014,89.3939240427475,88.8135495483331,4.8,5239300,7484200,4.41666666666667,4.49666666666667,3.39,4.26,2704.6778125,2114.10158730159,90.641045102644,113.111866132125,53929382,30590954000,25798535
"2008-01-01",2501111.25,3676634.5,90.8621803001654,89.7250797006734,89.7755677612788,5,5352500,7670300,2.75,3.17666666666667,2.04333333333333,3.66333333333333,2334.30885245902,1807.8031147541,88.630133316665,107.443287834475,52697168,29789057000,24941753
"2008-04-01",2532467.25,3716425.25,91.7484776286907,90.1593045018379,90.9434916268199,5.33333333333333,5425300,7744200,2,2.08666666666667,1.62666666666667,3.88666666666667,2425.35609375,1935.45703125,87.7014706801561,100.33037899454,52054128,29293524000,24414839
"2008-07-01",2539769.5,3724749.75,92.7277076965286,90.8383902040152,92.3457316243445,6,5504400,7872700,2,1.94,1.49333333333333,3.86333333333333,2290.6703125,1815.57171875,89.5802266294011,94.7644646394591,50293392,28723253000,23806942
"2008-10-01",2476735.5,3652052.25,91.2474954284308,91.0587597878005,90.2308386611772,6.86666666666667,5689700,8205000,0.708333333333333,0.506666666666667,0.296666666666667,3.25333333333333,1604.34625,1241.884375,96.713070033664,92.4931769083431,47463728,28111662000,23196406
