"date","gdp_nom","gdp_defl","cpi","ur","m1","m2","policy","ffer_1d","tb_3m","gov_10y","compx","ndx","reer"
"1975-11-01",146436.383042313,29.3133478935508,23.3331610420598,8.3,671500,1006900,5.29,5.22,5.48,8.05,78.0405263157895,,
"1975-12-01",148583.158132059,29.4259204142983,23.4597423858685,8.2,676000,1016200,5.37,5.2,5.44,8,75.9081818181818,,
"1976-01-01",150559.609579168,29.5104381645728,23.5441299484076,7.9,682800,1026600,4.84,4.87,4.87,7.74,83.3771428571429,,
"1976-02-01",152005.601973168,29.5666838559802,23.5863237296771,7.7,693500,1040300,4.89,4.77,4.88,7.79,89.3021052631579,,
"1976-03-01",152556.538447662,29.6715666965271,23.6285175109466,7.6,701300,1050000,5.07,4.84,5,7.73,90.2413043478261,,
"1976-04-01",153464.264669125,29.741043300959,23.6707112922162,7.7,708500,1060800,5.1,4.82,4.86,7.56,90.1414285714286,,
"1976-05-01",154524.6574633,29.8793449706993,23.7972926360248,7.4,714200,1072100,5.67,5.29,5.2,7.9,89.291,,
"1976-06-01",155094.077867575,30.0237334472244,23.9238739798335,7.6,716200,1077600,5.71,5.48,5.41,7.86,88.7668181818182,,
"1976-07-01",156054.643738903,30.1152822153842,24.0504553236421,7.8,720700,1086300,5.32,5.31,5.23,7.83,91.447619047619,,
"1976-08-01",157304.483244598,30.2433152045498,24.1770366674508,7.8,727500,1098700,5.31,5.29,5.14,7.77,90.8709090909091,,
"1976-09-01",158280.373016495,30.4445005892194,24.3036180112594,7.6,733200,1110800,5.31,5.25,5.08,7.59,91.4057142857143,,
"1976-10-01",158975.951526928,30.7198957647281,24.430199355068,7.7,741800,1125000,5.02,5.02,4.92,7.41,89.5,,
"1976-11-01",161309.480507261,30.7962774970356,24.5145869176071,7.8,750700,1138200,4.69,4.95,4.75,7.29,89.5315,,
"1976-12-01",163282.817965811,30.9141510824357,24.6411682614158,7.8,759400,1152000,4.17,4.65,4.35,6.87,94.5518181818182,,
"1977-01-01",163043.724432551,31.1418992660453,24.7677496052244,7.5,767400,1165200,4.65,4.61,4.62,7.21,96.8980952380952,,
"1977-02-01",166104.355242738,31.3268527403102,25.0209122928417,7.6,774800,1177600,4.73,4.68,4.67,7.39,96.09,,
"1977-03-01",168013.920324711,31.4447214039238,25.1474936366504,7.4,780200,1188500,4.72,4.69,4.6,7.46,95.7013043478261,,
"1977-04-01",169637.515764649,31.6488328072827,25.3162687617286,7.2,786000,1199600,5.12,4.73,4.54,7.37,95.0045,,
"1977-05-01",171091.809320209,31.7478148838242,25.4006563242676,7,789800,1209000,5.47,5.35,4.96,7.46,96.9447619047619,,
"1977-06-01",173247.924915135,31.8454333074542,25.5272376680763,7.2,793300,1217800,5.64,5.39,5.02,7.28,97.8654545454545,,
"1977-07-01",175064.491169859,31.9547735029001,25.6538190118849,6.9,797800,1226700,5.86,5.42,5.19,7.33,101.348947368421,,
"1977-08-01",176559.208903915,32.1340164137964,25.7804003556936,7,804200,1237000,6.03,5.9,5.49,7.4,100.579565217391,,
"1977-09-01",177994.549926223,32.3138482253472,25.8647879182327,6.8,809300,1246200,6.46,6.14,5.81,7.34,100.413333333333,,
"1977-10-01",179030.407758566,32.621179993668,25.9913692620413,6.8,813600,1254000,6.6,6.47,6.16,7.52,99.2471428571429,,
"1977-11-01",180409.1469234,32.8721153312284,26.1601443871195,6.8,819200,1262400,6.56,6.51,6.1,7.58,100.691904761905,,
"1977-12-01",181627.945318032,32.9918922151942,26.2867257309281,6.4,823100,1270300,6.53,6.56,6.07,7.69,103.710476190476,,
"1978-01-01",180857.028095627,33.2017374789331,26.4555008560063,6.4,829000,1279700,6.79,6.7,6.44,7.96,100.780476190476,,
"1978-02-01",182794.795044856,33.2979636132121,26.582082199815,6.3,831700,1285500,6.83,6.78,6.45,8.03,102.444736842105,,
"1978-03-01",187038.176859516,33.4149670136153,26.7508573248932,6.3,834500,1292200,6.97,6.79,6.29,8.04,104.01,,
"1978-04-01",191782.285041256,33.6637319873067,26.9618262312409,6.1,838500,1300400,7.25,6.89,6.29,8.15,110.7685,,
"1978-05-01",194372.665952221,33.989544192732,27.2149889188582,6,844600,1310500,7.43,7.36,6.41,8.35,119.077272727273,,
"1978-06-01",196753.29900652,34.1720027855343,27.4259578252059,5.9,845400,1318500,8.01,7.6,6.73,8.46,122.011818181818,,
"1978-07-01",197812.73073445,34.3295522926122,27.6369267315537,6.2,841800,1324100,8,7.81,7.01,8.64,122.119,,
"1978-08-01",199481.382142878,34.4671284577018,27.8057018566319,5.9,844000,1333500,8.4,8.04,7.08,8.41,132.54,,
