"date","pce_nom","gdp_nom","pce_defl","gdp_defl","cpi","ur","m1","m3","policy","ibr_3m","gov_10y","reer","rrppi","xr_usd","hfwh"
"1974-07-01",,,,,17.6132226590942,,,154251.011508001,6.66666666666667,,,,37.5409768230951,4.42533333233333,
"1974-10-01",,,,,18.4724042522208,,,156127.616836724,7,,,,38.0103999521841,4.30203333233333,
"1975-01-01",,,,,18.6544342507645,,,160107.578820684,7,,,,39.0091693065013,3.98183333233333,
"1975-04-01",,,,,19.076743847386,,,165121.147888556,7,,,,40.3126882175254,3.94086666566667,
"1975-07-01",,,,,19.6665210426678,,,170077.906202058,6.33333333333333,,,,40.4946030899475,4.291199999,
"1975-10-01",,,,,20.1325178389399,,,175821.527883854,6,,,,40.9552139990161,4.39486666566667,
"1976-01-01",,,,,20.6931702344546,,,179682.075063086,5.5,,,,41.1519180754725,4.38463333233333,
"1976-04-01",,,,,21.2319790301442,,,183973.934378007,5.66666666666667,,,,42.3139816981684,4.42023333233333,
"1976-07-01",,,,,21.5232270278142,,,187181.881216092,6,,,,44.0680732502379,4.40913333233333,
"1976-10-01",,,,,22.0693170234455,,,184303.343508339,8,,,,43.0820241439503,4.20956666566667,
"1977-01-01",,,,,22.6299694189602,,,190148.117505764,8,,,,43.6326729532278,4.22416666566667,
"1977-04-01",,,,,23.510994611912,,,191060.261185659,8,,,,44.4943548152269,4.37016666566667,
"1977-07-01",,,,,24.2828018057376,,,198012.184647556,8,,,,44.2320571706184,4.552099999,
"1977-10-01",,,,,24.8070482015436,,,200823.336408838,8,,,,44.3974970230022,4.78013333233333,
"1978-01-01",,,,,25.7026357943789,,,213281.872006172,7.66666666666667,,,,43.2402609643174,4.637599999,
"1978-04-01",,,,,26.0958205912334,,,221655.548834025,7,,,,45.3670711092516,4.62166666566667,
"1978-07-01",,,,,26.3215377894277,,,231300.902886935,6.5,,,,47.1421587333698,4.46913333233333,
"1978-10-01",,,,,26.692878986457,,,235415.368784694,6.5,,,,46.3905913076262,4.345499999,
"1979-01-01",,,,,27.1952817824377,,,248927.764269163,6.5,,,,45.996110362711,4.35783333233333,
"1979-04-01",,,,,27.6612785787098,,,253901.143078648,6.5,,,,47.6772520586112,4.37463333233333,
"1979-07-01",,,,,28.3165865734673,,,264563.101074656,7.33333333333333,,,,48.3460612441629,4.21053333233333,
"1979-10-01",,,,,29.1466433668269,,,271985.223578447,8.66666666666667,,,,46.5576403480137,4.20533333233333,
"1980-01-01",,,,,30.7776321537789,,,278441.547653691,10,,,,43.5949719771403,4.218199999,
"1980-04-01",,,,,31.3528469491772,,,282676.513358084,10,,,,43.5039379129291,4.24806666566667,
"1980-07-01",,,,,32.117372943061,,,292144.787309659,10,,,,43.0910662479713,4.151799999,
"1980-10-01",,,,,33.4425513324596,,,299072.522485497,10,,,,40.2641826934129,4.30023333233333,
"1981-01-01",,,,,34.7094801223242,,,304483.624136725,12,,,,39.0020429024847,4.55393333233333,
"1981-04-01",,,,,35.4521625163827,,,310602.321313138,12,,,,38.4557618892174,4.87693333233333,
"1981-07-01",,,,,36.2094073103247,,,319530.020288928,12,,,,37.2438900664058,5.301799999,
"1981-10-01",,,,,36.7336537061308,,,337854.080995854,11,,,,35.8984556392844,5.521099999,
"1982-01-01",,,,,37.8403960972768,,,344606.414541314,10.6666666666667,,,,35.2390716977546,5.73623333233333,
"1982-04-01",,,,,38.4957040920344,,,361070.787182694,10,,,,35.5263500704211,5.900199999,
"1982-07-01",,,,,39.0417940876656,,,358636.951344753,10,,,,35.3406037979902,6.15686666566667,
"1982-10-01",,,,,40.0029124799767,,,362386.515410717,10,,,,34.0734831870505,7.33713333233333,
"1983-01-01",,,,,41.189748070482,3.6,,377214.886603486,9,,,,32.9068218843438,7.40936666566667,
"1983-04-01",,,,,41.830493665356,3.66666666666667,,383158.1397157,8.5,,,,32.7626846160094,7.53686666566667,
"1983-07-01",,,,,42.6459880588321,3.76666666666667,,392149.210382793,8.5,,,,32.1960205546948,7.80596666566667,
"1983-10-01",,,,,43.5634192514926,3.66666666666667,,386337.592995017,8.5,,,,31.7603903736841,7.91623333233333,
"1984-01-01",,,,,44.5973496432212,3.46666666666667,,395953.916842452,8.5,,,,31.0049915479316,7.97406666566667,
"1984-04-01",,,,,45.420125236639,3.33333333333333,,388106.274402025,8.83333333333333,,,,31.3917330648288,8.00223333233333,
"1984-07-01",,,,,45.9006844327945,3.13333333333333,,396011.213425031,9.5,,,,31.3901238768251,8.40733333333333,
"1984-10-01",,,,,46.8836464249308,3.06666666666667,,413055.245963288,9.5,,,,30.7613145073663,8.70356666633333,
"1985-01-01",,,,,48.1578564147371,3,,398288.211467999,9.5,,,,30.2291330461316,9.264866666,
"1985-04-01",,,,,49.0461628076307,2.96666666666667,,391713.081706626,10.8333333333333,,,,30.4239214225835,8.94199999966667,
"1985-07-01",,,,,49.155380806757,2.8,,393682.802105665,10.5,,,,30.4157988545647,8.39466666633333,
"1985-10-01",,,,,49.8980632008155,2.7,,409563.198082427,10.5,,,,29.7434647810048,7.81416666666667,
"1986-01-01",,,,,50.7062763943498,2.83333333333333,,410889.721453569,9.16666666666667,,,,29.7306679049751,7.40796666666667,
"1986-04-01",,,,,50.9611183923111,2.66666666666667,,428358.44433899,8,,,,30.1108960418573,7.20023333333333,
"1986-07-01",,,,,51.2013979903888,2.56666666666667,,440541.868567707,7.83333333333333,,,,30.770279983387,6.9677,
"1986-10-01",,,,,51.7038007863696,2.63333333333333,,452560.108045525,7.5,,,,31.2446839324877,6.91843333333333,
"1987-01-01",,,,,52.4974515800204,2.36666666666667,,448668.176118444,10.6433333333333,,11.46,,32.1169404585113,6.50643333333333,
"1987-04-01",,,,,52.6794815785642,2.3,,467843.367043402,8.38,,11.59,,32.7325698119396,6.30093333333333,
"1987-07-01",,,,,53.6260375709917,2.16666666666667,,468972.43679522,8.45,,11.92,,33.17670570097,6.43136666666667,
"1987-10-01",,,,,54.4124071647007,1.9,,471319.830171134,8.50333333333333,,11.7666666666667,,33.9452845427531,6.12303333333333,
"1988-01-01",,,,,55.1259647589923,1.9,,479766.334646259,8.84,,11.4266666666667,,35.2330180857406,5.98796666666667,
"1988-04-01",,,,,56.0943643512451,1.83333333333333,,486009.51390197,9.75666666666667,,11.39,,36.0721713156874,5.9581,
"1988-07-01",,,,,56.7351099461191,1.83333333333333,,493519.617668421,10,,11.4633333333333,,37.8143088997292,6.41646666666667,
"1988-10-01",,,,,57.6161351390709,1.63333333333333,,496476.095122934,10.3333333333333,,11.1133333333333,,38.1852650485898,6.14606666666667,
"1989-01-01",,,,,58.6864715305082,1.6,,504457.057507002,10.6666666666667,,10.6366666666667,,39.7965220083279,6.31570333333333,
"1989-04-01",,,,,59.7495267220038,1.56666666666667,,517177.558042505,11,,11.0733333333333,,40.9155973229242,6.54516666666667,
"1989-07-01",,,,,60.2956167176351,1.43333333333333,,529228.377647815,12,,11.0633333333333,,42.1145190137057,6.5376,
"1989-10-01",,,,,61.3586719091306,1.56666666666667,,547186.930350375,11.6666666666667,,11.9466666666667,,41.6042531605219,6.38903333333333,
"1990-01-01",,,,,64.2857142857143,1.43333333333333,,559058.43770625,13,,13.44,,42.2113768059304,6.1504,
"1990-04-01",,,,,65.7273918741809,1.53333333333333,,562688.666298124,12,,13.27,,41.9426424093069,6.08696,
"1990-07-01",,,,,66.9943206640454,1.76666666666667,,570064.392901421,12.3333333333333,,13.1433333333333,,41.9515312573276,5.83063333333333,
"1990-10-01",,,,,68.232124654143,2.16666666666667,,611227.611116862,14.6666666666667,,12.7833333333333,,40.6003497301928,5.60716666666667,
"1991-01-01",,,,,71.2392602300859,2.43333333333333,,615384.364092655,12.3333333333333,12.3369523809524,11.4433333333333,,41.5464756483878,5.678,
"1991-04-01",,,,,72.4843454201252,2.73333333333333,,632424.943483814,10.6666666666667,11.787012911726,10.91,,40.6530697943151,6.23033333333333,
"1991-07-01",,,,,72.6590942187272,3.36666666666667,,638937.693169786,10,10.7264901499467,10.47,,40.7441038585263,6.328,
"1991-10-01",,,,,73.6129314110966,3.86666666666667,,638283.921078455,12.1666666666667,12.0626422611205,9.94666666666667,,39.8476328844465,5.95353333333333,
