"date","gdp_nom","gdp_defl","cpi","ur","m1","m2","m3","policy","ibr_3m","gov_10y","reer","xr_usd"
"2000-04-01",108268.360575465,74.3034078599214,76,4.4,391323.415946248,526097.00496665,633391.30904638,4.1,4.3245,5.574,98.7328180524428,7.85645
"2000-05-01",110602.969954039,74.5132562270153,76.3,4.5,393807.691480849,546342.672702287,662095.711884142,4.1,4.70130434782609,5.768,98.1294792367934,8.21324
"2000-06-01",110153.569470496,74.7446532149248,76.5,4.4,394318.106223041,548130.962785285,656194.833276399,4.7,5.14113636363636,5.67,99.6531653983485,7.85108
"2000-07-01",108662.992771259,74.6337263055653,76.2,4.2,382849.726849735,507438.401413228,609433.426455554,4.7,5.77547619047619,5.756,99.0498265826992,7.93219
"2000-08-01",110880.352540773,74.6578871090129,76.1,4.1,386772.556080909,517209.143193191,632438.005404335,5.1,5.6575,5.642,97.5977229924924,8.24039
"2000-09-01",111926.254687969,75.5485320926109,76.7,4,396803.273867129,515640.387283791,627985.058059953,5.6,6.09785714285714,5.663,96.8921233606313,8.56511
"2000-10-01",113436.489348985,75.9649668578325,76.9,4,391531.434521534,513467.099757937,623196.445958459,5.4,5.55295454545455,5.57,96.8000886260407,8.70721
"2000-11-01",113928.079634766,76.1320932410181,76.9,4.1,386182.038966436,508629.317828804,617197.481170272,5.4,5.49613636363636,5.489,96.8818972790101,8.70685
"2000-12-01",114606.731016249,76.15120864325,76.8,4.1,394414.564790058,511298.303467742,620413.792722534,5.4,5.38511904761905,5.204,98.0885749103088,8.3113
"2001-01-01",112046.65905817,76.1208371758019,76.7,4.3,388270.380015662,497072.384577085,631877.856097931,5.4,5.34354347826087,5.088,99.8985913572567,7.95062
"2001-02-01",112406.416662737,76.3848387094955,77.3,4.4,389141.627065919,505352.251277062,644810.108366993,5.3,5.272,5.062,100.092886908059,8.09493
"2001-03-01",113240.024279094,76.4572521626309,77.7,4.4,392746.17859272,511623.790047373,648612.834573106,5.3,5.16215909090909,4.945,100.307634622104,8.20677
"2001-04-01",113518.920117429,76.4357161567817,78,4.3,393642.176479581,507473.674245053,647151.344119238,5.3,5.11202380952381,5.136,99.7861044594238,8.35922
"2001-05-01",113234.970333137,76.5961705009953,78.4,4.3,392527.065528426,505448.514776496,645935.700557513,5,5.10913043478261,5.348,98.9168875216239,8.5252
"2001-06-01",114079.709549434,76.5684128800347,78.3,4.4,403001.109013841,516093.043676784,661355.387286372,5,4.96416666666667,5.328,98.2828704611111,8.72189
"2001-07-01",113457.330864223,76.6169578058536,78.1,4.5,405033.848266365,510275.915211861,656413.86141747,4.95,4.93238636363636,5.315,99.0089222562145,8.65706
"2001-08-01",115693.119546711,76.7728874243018,78.1,4.7,411911.336225447,528496.856787293,677760.335505201,4.65,4.80771739130435,5.12,100.348538948588,8.26772
"2001-09-01",115734.349589066,77.3981199140032,78.4,4.7,414382.95596999,531657.914097933,687841.017950516,4.15,4.433375,5.113,101.003008172344,8.1705
"2001-10-01",115240.871650816,77.4367772716957,78.5,4.7,417768.730402088,535823.949052364,686734.57097944,4.1,3.9595652173913,4.858,101.074590743692,8.20787
