"date","pce_nom","gdp_nom","pce_defl","gdp_defl","cpi","ur","m1","m2","m3","policy","ibr_3m","gov_10y","reer","rrppi","xr_usd","hfwh"
"2005-10-01",195162.6,405648,85.7312797474491,84.8207420102403,84.5333333333333,4.16666666666667,646231.196408999,800496.830628052,1025540.31845158,2.23333333333333,2.36318304473304,3.34433333333333,104.779840984431,107.916245105806,6.2776,4173693
"2006-01-01",198193.2,412378.3,85.4078614016824,85.3345658570493,84.8333333333333,4.16666666666667,661890.111238969,830239.361315541,1042505.04153402,2.55,2.67657494071146,3.49966666666667,104.711667106956,115.198776773263,6.20899,4253130
"2006-04-01",202297.4,425289,86.4177494469878,85.4411510659894,85.8333333333333,4.1,679063.519128639,844412.872650041,1053687.08888161,2.83333333333333,2.99156959815547,4.00866666666667,105.860396942402,120.732342894002,5.94106,4246920
"2006-07-01",199567.6,425107.7,86.9697911485198,86.0059641251699,85.9,3.7,682170.798339168,854247.518031932,1089620.27677663,3.16666666666667,3.32728944099379,3.92966666666667,106.071735962573,123.084081780945,5.85578666666667,4451842
"2006-10-01",201891.5,422465.8,87.0211887671985,85.5817985704135,85.9666666666667,3.63333333333333,707477.477184262,884972.959963704,1115950.28739152,3.58333333333333,3.72647438672438,3.81,105.727457881326,121.708728847683,5.78127666666667,4639447
"2007-01-01",204265.2,430399.2,87.1664591389092,86.8578061482539,86.4333333333333,3.9,734836.011141976,930990.290997712,1143548.37326546,3.83333333333333,3.99549351119894,4.00266666666667,106.173996778784,121.514442517232,5.68739666666667,4703763
"2007-04-01",205716.6,428235.5,87.8210296250114,87.3629329898434,87.2,3.6,744212.172579729,944163.650022568,1170249.83252266,4.08333333333333,4.271966873706,4.38766666666667,106.368292329587,122.05203279359,5.52479,4828758
"2007-07-01",208103.7,436325.3,87.8726774483473,87.5155698585627,86.8666666666667,4.03333333333333,756317.095328027,979836.81780415,1216602.61727662,4.25,4.64186592885375,4.44333333333333,105.805857840422,122.750686437891,5.41731666666667,4868394
"2007-10-01",213321.3,448184.3,88.9232919356816,88.9097900927587,87.8333333333333,3.56666666666667,769988.4810244,1001970.10320115,1253150.7746463,4.25,4.85728025911287,4.312,106.491005309041,119.122097787224,5.1453,4842384
"2008-01-01",215322,449961.4,89.7012088578112,89.598647805188,89.0666666666667,3.43333333333333,803191.696101161,1027680.84480331,1320294.41635181,4.25,4.71654120082816,4.08933333333333,107.803352450425,115.900247569357,4.97283333333333,4800539
"2008-04-01",217439.8,453471.1,90.1997693910579,91.1545640599698,90.2666666666667,3.46666666666667,773803.025225012,1010813.30678695,1355338.63666866,4.31666666666667,5.15448369408369,4.508,108.491908612917,114.802724088639,4.77503333333333,4761500
"2008-07-01",216716.8,457642.9,91.2386402160132,92.4822359640253,90.5,3.76666666666667,763714.632113724,1009661.35831109,1370871.18050802,4.6,5.39327468787251,4.54533333333333,107.131839757301,111.522490828471,4.96859,4655064
"2008-10-01",209429.1,448645.5,91.6548223366216,92.3997703336287,90.4,4.13333333333333,772248.518331236,1079190.13566477,1474515.68491185,4.75,5.7859265942029,3.99466666666667,107.015944165594,102.904532068659,5.67606666666667,4585886
"2009-01-01",206951.5,434496.3,91.3711361340816,91.274881979891,90.6333333333333,5.26666666666667,770819.277786322,1080799.15286128,1569824.63065346,2.75,3.85985257575758,3.47733333333333,110.04968171321,96.1280191488607,5.725,4524950
"2009-04-01",209668,426852.7,91.5739521120339,91.3345943717931,91.3666666666667,6.53333333333333,783727.6505412,1070602.11678122,1602711.77812155,1.7,2.65127806637807,3.62433333333333,110.540533631026,96.5607919499402,5.47976666666667,4616809
"2009-07-01",210951.5,432308,92.0019604275432,92.2448763458242,91.4,6.7,794519.222773198,1053106.55056925,1649350.06520209,1.23333333333333,1.92154998745216,3.66133333333333,110.823455222545,97.2915999819314,5.205,4811589
"2009-10-01",211287,435871.9,92.5350641265843,92.8310577379323,91.5333333333333,7.26666666666667,803552.708447247,1037611.080945,1581452.28470294,0.983333333333333,1.56441523935002,3.58233333333333,110.871176936777,96.712821003518,5.0337,4913261
"2010-01-01",215407,445377.9,92.9381826929249,94.0268904196601,92.5333333333333,7.66666666666667,827443.076172919,1031996.27288934,1550946.44182618,0.766666666666667,1.40907622498275,3.488,108.471456449675,96.3161854599025,5.38006666666667,5045035
"2010-04-01",216004.9,451394.1,93.9652354431414,94.8771875981618,93.3666666666667,7.76666666666667,826375.311632315,1017000.46792423,1601165.19927178,0.566666666666667,1.22923872053872,2.99066666666667,105.165023392162,97.4921034749567,5.8554,5064297
"2010-07-01",218673.8,457997.7,94.6438321018656,94.9592003561409,93.5666666666667,7.63333333333333,833593.66990586,1001610.08538627,1447858.19084352,0.5,1.14155303030303,2.519,104.858240943526,98.0320251872799,5.77293333333333,5196917
"2010-10-01",220174.5,458126.1,94.7880996831422,95.522164007366,93.9,7.93333333333333,814927.042232023,988884.099842268,1509087.3817226,0.7,1.21390115440115,2.70666666666667,104.997997392349,96.7253524718321,5.4879,5248147
"2011-01-01",220218.4,461957.9,96.0242902919959,95.6667158456587,95.0333333333333,7.9,802693.833963032,971873.543367871,1340306.34627576,0.7,1.25440424430642,3.19033333333333,104.565093270386,94.6245343806662,5.45673333333333,5226049
"2011-04-01",223495.6,463220.8,96.2188907937979,95.0264501100333,96.2,7.46666666666667,798119.302101796,965294.919004755,1293087.42210708,0.95,1.45866883116883,3.16833333333333,105.911527350507,95.5565259078393,5.18601280701754,5262022
"2011-07-01",223458.9,458384.1,96.0382053493472,95.2626310790123,96.1,7.6,802870.048842106,969111.679407439,1321789.3177125,1.1,1.56774044795784,2.527,105.420675432691,92.5333334628575,5.27703333333333,5341733
"2011-10-01",225179.6,464968.4,96.679022857524,95.8941955419382,96.3333333333333,8.06666666666667,797647.135367899,958088.871095994,1353244.88223007,0.65,1.25510425685426,2.03133333333333,104.370797719584,88.9865393573105,5.55506666666667,5437914
