"date","pce_nom","gdp_nom","pce_defl","gdp_defl","cpi","ur","m1","m2","m3","ml","policy","tona_1d","gov_9y","gov_10y","gov_20y","n225","reer","rrppi","xr_usd","hfwh"
"1998-10-01",71371976,134821632,109.400093269459,113.805043644033,100.515234416032,4.4,247979381.440854,603943535.906922,951530168.911937,1165974540.01338,0.25,0.23,1.0543064516129,1.12135483870968,1.70885483870968,14079.279516129,161.953275952925,143.757026703945,119.834083333333,1314979700
"1999-01-01",71296400,132268224,108.880793886453,113.217761230069,99.9287621453435,4.6,257192937.9164,610350854.364093,960429716.4722,1177291674.54377,0.25,0.15,1.82043333333333,1.94208333333333,2.71146666666667,14523.7341666667,165.29255687964,144.032463619209,116.53999,1327774000
"1999-04-01",71264096,132253528,108.692080700638,112.760735294168,99.7111594759169,4.73333333333333,265337224.807282,613716077.574196,967105193.639877,1186675906.33903,,0.03,1.39508196721311,1.52629508196721,2.40231147540984,16792.0483606557,160.718148788448,142.35781112615,120.940313333333,1353117700
"1999-07-01",71682048,132148800,108.584764707683,112.07895916741,99.5880806096644,4.7,272814222.198705,615636363.81518,971373305.150548,1191611869.55929,,0.03,1.65546031746032,1.76719047619048,2.64942857142857,17730.51,171.042924366951,141.591369379872,113.610583333333,1363833500
"1999-10-01",71651024,131960952,108.237446139334,111.884321306755,99.4918992748307,4.63333333333333,278727704.703936,620055243.533966,977471042.562828,1200474143.39161,,0.0233333333333333,1.72901639344262,1.74090163934426,2.51939344262295,18179.8886885246,184.011759593961,140.21131978542,104.536333333333,1401629900
"2000-01-01",71947872,133790248,108.039997887094,111.509966251043,99.3092659183501,4.83333333333333,284370163.358917,622285185.685394,980966274.30995,1208916808.92159,,0.0233333333333333,1.71904918032787,1.77596721311475,2.32793442622951,19507.6236065574,177.924875424113,139.73533160115,107.059656666667,1401111100
"2000-04-01",71587376,133835848,107.691579760542,111.049863344436,99.0283413866134,4.7,288298867.797942,625328996.170005,984110349.545666,1225037135.70959,,0.02,1.63964516129032,1.70614516129032,2.11906451612903,17814.1464516129,181.330720090231,138.015233992946,106.607333333333,1401713200
"2000-07-01",71586128,133612752,107.493720830835,110.833412249667,98.9271174560004,4.66666666666667,286681643.417643,627839027.309038,986546563.660487,1232047460.35865,0.25,0.143333333333333,1.70146031746032,1.77166666666667,2.26190476190476,16478.6017460317,180.391431767545,136.957251953646,107.574013333333,1404697000
"2000-10-01",72198152,134454592,107.08650368672,110.465539486705,98.7162617209717,4.73333333333333,291711722.679397,632990207.761505,988693732.043029,1234564807.9257,0.25,0.246666666666667,1.62688709677419,1.73106451612903,2.35698387096774,14828.5096774194,178.812391949486,135.661572203397,109.82099,1408868200
"2001-01-01",72642152,135646704,107.124644969322,110.620048207059,98.8840849783559,4.76666666666667,298574278.465063,638055529.181782,989229755.620751,1248590522.51669,0.183333333333333,0.203333333333333,1.24720338983051,1.35477966101695,1.87137288135593,13214.1525423729,163.97607403367,134.547277738809,118.08564,1394140900
"2001-04-01",72659672,133556600,106.269464871712,109.742550074872,98.3443413136013,4.9,310937777.542496,643366405.291164,991677180.722734,1254782242.41174,,0.02,1.12454838709677,1.26775806451613,1.91062903225806,13454.7732258065,160.074699307552,133.066952509855,122.636943333333,1411632100
"2001-07-01",72372824,131762000,105.90902596157,109.447728669013,98.1993425025329,5.13333333333333,319355211.65494,647590862.954011,992000450.33736,1254997690.36247,,0.00833333333333333,1.20092063492063,1.34098412698413,2.03269841269841,11291.5225396825,160.16345096009,131.794094110906,121.743913333333,1370386800
"2001-10-01",71835928,130974896,105.292828164718,109.182661533487,97.809192398576,5.36666666666667,333046785.437302,654539545.404202,996285119.143162,1259567875.16128,,0.00233333333333333,1.21656451612903,1.35251612903226,2.02748387096774,10480.9527419355,157.042351179195,130.472234022584,123.649293333333,1387645600
"2002-01-01",72092952,131373200,105.07275101556,109.320393561617,97.5055922918705,5.26666666666667,371180119.627813,661760685.31,1001410173.08884,1255731942.01986,,0.00133333333333333,1.38634482758621,1.4641724137931,2.10655172413793,10592.1103448276,145.438072609946,129.63693304749,132.459553333333,1417598600
"2002-04-01",72422376,131052496,104.6886573167,108.189972759504,97.5188670297565,5.4,410235522.664025,665070951.816127,1005233719.26928,1257511082.09133,,0.001,1.26351612903226,1.37591935483871,2.02148387096774,11359.5777419355,149.014024610094,127.278133984055,127.05139,1426656900
"2002-07-01",72338600,131052448,104.474458723601,107.832129981533,97.4063854901069,5.43333333333333,413214954.414702,667705603.261174,1007255047.90508,1261793526.88895,,0.003,1.109109375,1.236546875,1.8900625,9849.293125,155.134190649644,125.703361950583,119.146073333333,1412048700
"2002-10-01",71978376,131103648,104.200775742754,107.584092546828,97.2813340478547,5.33333333333333,418641123.213816,669614311.916082,1007985584.3009,1260921703.98352,,0.002,0.886629032258065,1.01659677419355,1.6813064516129,8730.65080645161,150.134514223377,123.811165667203,122.89506,1419320100
"2003-01-01",72125552,130345128,103.990224372702,106.895473415594,97.2498203791237,5.33333333333333,424794575.419646,672964948.825512,1010629083.26418,1271649556.83578,,0.00166666666666667,0.705741379310345,0.797775862068965,1.32303448275862,8421.895,149.528044597705,122.298831270191,118.821116666667,1409257200
"2003-04-01",71701624,131127504,103.569133403744,106.8128738749,97.2970268155292,5.43333333333333,429569231.007941,676913500.813842,1013102698.47789,1260080497.41903,,0.001,0.532936507936508,0.598,0.961444444444444,8312.48793650794,147.83066924293,119.733553314036,118.439523333333,1432229500
"2003-07-01",71571824,131096128,103.414015871589,106.455880497845,97.1568686884146,5.16666666666667,435809589.226834,679074373.288409,1014699112.95453,1269703318.91892,,0.00166666666666667,1.1145873015873,1.19126984126984,1.63503174603175,10054.8136507937,148.548078434273,117.904881398129,117.569496666667,1442017800
"2003-10-01",72334152,131599952,103.109643397435,105.717012613205,96.9854023806555,5.03333333333333,436804727.91367,680266102.918071,1015736659.74321,1274838572.42055,,0.001,1.29418032786885,1.38144262295082,1.86852459016393,10421.1104918033,155.988425305315,116.222621787969,108.90372,1457892800
"2004-01-01",72339152,132342128,103.124379151103,105.516187609819,97.105341824061,4.9,441735637.727624,684287445.254958,1019762568.37507,1282804061.94996,,0.000666666666666667,1.20883606557377,1.31280327868852,1.87093442622951,11018.2591803279,154.02849297845,114.614655061697,107.22782,1451986600
