"date","gdp_nom","gdp_defl","cpi","ur","m1","m2","m3","ml","policy","tona_1d","gov_9y","gov_10y","gov_20y","n225","reer","xr_usd"
"2005-05-01",44215680.4292084,104.178357000028,96.9457728575291,4.5,464991944.77162,698501153.38312,1026924511.96676,1321027472.2158,,0.001,1.12963157894737,1.27763157894737,1.94221052631579,11082.3789473684,146.573354165318,106.91263
"2005-06-01",44336681.1895902,103.841153674982,96.723190029948,4.3,466730807.926644,699271923.31858,1026579483.77328,1323787904.42618,,0.001,1.0815,1.23163636363636,1.90727272727273,11402.7459090909,145.020200245916,108.63182
"2005-07-01",44469436.1465714,103.84549321565,96.7965108043039,4.4,469715807.623738,701614270.401457,1028481405.94316,1328204641.77571,,0.001,1.1057,1.25135,1.9476,11716.866,140.926530272634,111.935
"2005-08-01",44495642.7663199,103.613018059884,96.6220982962389,4.3,471890867.356297,703661556.494316,1029591907.89788,1330708170.31801,,0.001,1.28934782608696,1.41291304347826,2.07817391304348,12204.9756521739,140.793402793828,110.72174
"2005-09-01",44678249.0871089,103.676318416439,96.770606237506,4.2,475940230.992286,705938840.139349,1030743689.45145,1334961539.26026,,0.001,1.2434,1.362,2.0184,12979.3755,140.116671443231,111.0575
"2005-10-01",44426377.5146103,103.661251295279,96.7279713688811,4.4,478022338.509378,706331614.470724,1030397946.86978,1336351613.92409,,0.001,1.4339,1.52865,2.09905,13392.793,135.978625643681,114.817
"2005-11-01",44632459.0635137,103.514772120766,96.7322361800841,4.5,479292056.563111,707545817.589387,1030900867.65364,1338673814.06691,,0.001,1.4333,1.51855,2.05085,14368.0535,132.217774367413,118.407
"2005-12-01",44626891.4218759,103.480491062834,96.8238098594931,4.4,480942519.209329,707462970.928243,1029979153.20312,1341121753.88097,,0.001,1.44695238095238,1.51957142857143,2.04571428571429,15650.8333333333,131.419009494578,118.63857
"2006-01-01",44662854.2670687,103.546739557688,97.0624518476601,4.4,481893257.387022,707318269.819724,1028968530.03816,1344022786.11419,,0.001,1.38652631578947,1.46352631578947,1.99084210526316,16085.5063157895,132.572780977562,115.45211
"2006-02-01",44504996.4754614,103.379731243193,97.0034180868718,4.1,483226777.078495,707354499.213533,1027775879.97637,1349037447.80216,,0.001,1.5191,1.564,2.01295,16187.6365,129.089278615474,117.8855
"2006-03-01",44473997.2574698,103.165659622174,96.907100193794,4.1,483401991.953364,707787602.991413,1027383163.48926,1356171385.03863,0,0.002,1.64618181818182,1.67709090909091,2.04231818181818,16311.5404545455,129.843667662041,117.31182
"2006-04-01",44693395.8165714,103.073493117302,96.9635362817497,4.1,484494004.611001,708780842.616462,1028098965.57883,1364934057.57595,0,0.002,1.86575,1.89325,2.23885,17232.9675,128.501298917415,117.1055
"2006-05-01",44351791.425431,103.133446154131,97.0660903699964,4.1,484428105.504232,707599485.529664,1025841261.72918,1373127721.57625,0,0.02,1.88015,1.90985,2.2279,16322.2395,133.016539240249,111.60762
"2006-06-01",44451036.7579976,103.088236221738,97.2342572115148,4.2,484273448.198845,706829461.518751,1024185667.56104,1374793871.93821,0,0.036,1.809,1.8605,2.24354545454545,14990.3077272727,130.775560013683,114.53364
"2006-07-01",44229802.5388657,102.759967945832,97.1028495541171,4.1,484275534.109859,705283705.835143,1021983108.07252,1374825094.72709,0.25,0.155,1.87255,1.91085,2.2991,15147.554,128.823023657862,115.672
"2006-08-01",44390849.4598861,103.089093400756,97.5178263199968,4.1,483467826.392597,706688367.05451,1022276406.49807,1378047084.20412,0.25,0.25,1.77195652173913,1.81930434782609,2.22630434782609,15786.7791304348,128.678802222489,115.88043
"2006-09-01",44436644.0012479,103.039115889022,97.3741605992597,4.1,483523133.527875,709300551.124429,1023774786.25099,1383385246.38411,0.25,0.261,1.59415,1.6714,2.1515,15934.087,127.391903260699,117.0085
"2006-10-01",44698424.588524,103.021882011206,97.146052224052,4.1,482226407.96005,710100997.211631,1023406784.4481,1385861328.67295,0.25,0.254,1.67195238095238,1.75609523809524,2.23014285714286,16519.4442857143,125.672339992789,118.65762
"2006-11-01",45031158.8827244,102.991383026167,97.035033714719,4,481759256.42026,711589977.337364,1024164165.43902,1389616923.12025,0.25,0.257,1.62425,1.70985,2.16795,16101.069,125.006702598759,117.347
"2006-12-01",45250896.5287513,103.113280358754,97.1482577927338,4,481726864.589509,712553836.049475,1024487203.83874,1392775883.15094,0.25,0.255,1.55928571428571,1.63819047619048,2.04919047619048,16790.2138095238,123.342609113685,117.13
"2007-01-01",45138647.3473095,103.005160290994,97.0690035088322,4,482137609.036876,713726946.122626,1024847565.4992,1395589716.72602,0.25,0.267,1.62526315789474,1.70663157894737,2.13573684210526,17286.3242105263,120.058797969806,120.57842
"2007-02-01",45170204.6150516,102.6698881944,96.7943616638804,4,483157663.929511,714371688.64068,1024533485.21727,1396808272.29793,0.5,0.357,1.62673684210526,1.71073684210526,2.13478947368421,17741.2310526316,118.195013266523,120.44632
"2007-03-01",45186828.0376393,102.640848494491,96.7869260822945,4,483201693.965743,715570438.839171,1025049190.64232,1401182794.70433,0.5,0.509,1.53638095238095,1.619,2.05590476190476,17128.3671428571,121.190381539656,117.27571
"2007-04-01",45195666.0905624,102.816760264066,96.9532305328817,3.8,482771558.169361,716972971.291892,1026292918.26889,1404684519.96042,0.5,0.511,1.593,1.67465,2.1081,17469.8095,118.228295136225,118.87
"2007-05-01",45298998.4023898,102.820674424055,97.0838163195564,3.8,482521132.290825,717827414.430195,1026235315.32433,1410104101.30354,0.5,0.521,1.60595238095238,1.68161904761905,2.10309523809524,17595.1357142857,115.898564257121,120.72952
"2007-06-01",45012567.5070476,102.598970564607,97.0077999770242,3.7,483148175.239705,719492542.390089,1027161361.98732,1414902687.50744,0.5,0.51,1.832,1.8807619047619,2.24952380952381,18001.3661904762,113.579927334584,122.6181
"2007-07-01",44698130.4740169,102.468264920258,97.1160376948221,3.6,482980109.397445,719900068.568374,1026898338.48167,1417899681.51879,0.5,0.499,1.83061904761905,1.88466666666667,2.2837619047619,17974.7676190476,112.770068505182,121.58857
"2007-08-01",44929581.7871026,102.293094526353,97.3004745550806,3.7,481024438.573453,719265712.24119,1025313604.51397,1418908559.42135,0.5,0.485,1.59978260869565,1.67182608695652,2.13934782608696,16460.9547826087,118.594395702941,116.72435
"2007-09-01",44491791.7388808,101.976626683726,97.1808395381576,3.9,481805591.46016,721250186.826047,1026274035.01063,1423347027.45736,0.5,0.51,1.51694444444444,1.6095,2.13294444444444,16235.3877777778,119.004872095926,115.015
"2007-10-01",44755017.3212931,101.820753750133,97.3616347293935,4,483347310.015207,723337531.187598,1029203777.95242,1429347565.53514,0.5,0.506,1.55968181818182,1.66027272727273,2.19154545454545,16903.3590909091,116.053879649061,115.74136
"2007-11-01",44669215.6548339,101.898369373748,97.6410327202796,3.8,483556922.524608,725717056.313839,1030397751.52627,1433136233.82083,0.5,0.5,1.42028571428571,1.53071428571429,2.09057142857143,15543.7642857143,119.26003309697,111.21
"2007-12-01",44781615.023873,101.836944697292,97.7844767971036,3.7,484517658.069625,727555864.779111,1031677899.12987,1436370443.62859,0.5,0.497,1.41836842105263,1.52673684210526,2.11573684210526,15544.6477777778,117.828912699807,112.245
"2008-01-01",44857155.8241045,101.702958166563,97.8038173513564,3.9,483959973.902757,729136709.43528,1032496164.34457,1439444516.60464,0.5,0.502,1.299,1.42721052631579,2.07742105263158,13731.3068421053,121.05725406085,107.65684
"2008-02-01",44861659.062993,101.58721508368,97.801630301597,4,482974137.399848,731155923.315771,1033366517.64259,1441479802.35605,0.5,0.504,1.3415,1.4535,2.08655,13547.84,119.581757837418,107.164
"2008-03-01",44688209.1129026,101.613824588813,97.8763328618173,3.8,481849144.787544,731814743.913201,1033225809.31215,1444803969.28449,0.5,0.511,1.17165,1.30875,2.06455,12602.923,125.528118557416,100.79
"2008-04-01",44493028.32602,101.341040026647,97.6346584516209,3.9,478975195.555063,730390813.41066,1031352822.21451,1436472985.10676,0.5,0.506,1.28409523809524,1.4092380952381,2.14033333333333,13357.699047619,121.95586454279,102.489047619048
"2008-05-01",44700967.2555453,101.577447008122,98.310011053687,4,479392544.163409,732545673.786377,1033084294.79047,1434567397.15812,0.5,0.505,1.6069,1.67655,2.256,13995.3335,121.123817800253,104.1385
"2008-06-01",44203052.4184342,101.538426246132,98.9316006892957,4,481097833.698544,735255670.217044,1035629027.71764,1438936236.22797,0.5,0.509,1.68861904761905,1.75314285714286,2.31290476190476,14084.600952381,117.939852265478,106.90476
"2008-07-01",43941296.7871621,100.897895196041,99.3645940408701,3.9,479483325.721885,735332444.794926,1034756149.19341,1439619782.40752,0.5,0.503,1.52009090909091,1.61209090909091,2.22509090909091,13168.9086363636,116.952490131001,106.8118
"2008-08-01",43224529.1290267,100.594372316665,99.331291296337,4.1,479831707.652272,736691571.378288,1035682953.97543,1441588658.02609,0.5,0.504,1.35980952380952,1.46942857142857,2.12557142857143,12989.3514285714,117.063429696673,109.27952
"2008-09-01",43641678.0838114,100.79970407061,99.2409272913373,4,479507542.645639,737028926.719602,1035768651.79958,1441331168.16608,0.5,0.495,1.414,1.48595,2.11135,12123.529,122.599314023686,106.748
"2008-10-01",43820103.4898016,101.739891378714,99.0988220474482,3.8,478126119.017288,736314375.311996,1034604264.48675,1439480855.15441,0.3,0.487,1.45631818181818,1.50572727272727,2.11863636363636,9117.03409090909,136.422383906367,100.33364
"2008-11-01",43121340.3101475,102.09113855504,98.5539801869327,4,479737765.89157,738487519.868516,1036907999.14231,1441636426.47414,0.3,0.301,1.39966666666667,1.47705555555556,2.13411111111111,8531.45,144.121589763976,96.67632
"2008-12-01",42288780.2000508,102.356932378539,98.230897307596,4.4,479709885.382416,740978147.485907,1039497824.9406,1443783975.03706,0.1,0.211,1.22609523809524,1.31966666666667,1.99490476190476,8456.821,151.987204970093,91.3215
"2009-01-01",41478360.549093,102.164711880261,97.8268930962017,4.3,480219698.180918,743619410.772413,1042199217.22026,1446183734.17841,0.1,0.12,1.15705263157895,1.25847368421053,1.86842105263158,8331.48947368421,152.552996755018,90.48222
"2009-02-01",40666103.8955773,102.169567605155,97.6530642293958,4.6,481559728.62558,746830687.802677,1045492300.38554,1450188915.94896,0.1,0.111,1.196,1.30710526315789,1.89784210526316,7694.78263157895,150.933279096212,92.50211
"2009-03-01",40910183.5553303,102.019464007221,97.6359828780497,4.8,482035556.908408,748298177.631051,1046873321.01523,1456875641.79184,0.1,0.1,1.20214285714286,1.30009523809524,1.91185714285714,7764.5819047619,142.912348498156,98.164
"2009-04-01",41397447.916761,101.730782057861,97.590281196138,5,481627002.0039,749823356.799546,1048707982.07345,1449693108.57971,0.1,0.104,1.352,1.43114285714286,2.06004761904762,8767.95952380952,138.985087873381,99.0033333333
"2009-05-01",41587852.9762855,101.212322756347,97.2977995182895,5.1,482953300.877186,752077550.973059,1051113325.26699,1442954364.86428,0.1,0.102,1.36672222222222,1.45011111111111,2.08461111111111,9304.43222222222,138.618987306665,96.3044444444445
"2009-06-01",41478123.1069538,100.915326738875,97.1961186038689,5.2,483368448.104458,753543313.065107,1052716680.68674,1444906922.86854,0.1,0.104,1.36490909090909,1.46827272727273,2.13040909090909,9810.30681818182,137.065833387262,96.5172727272727
"2009-07-01",41182364.393024,100.646326287607,97.1285536920441,5.5,482534233.150448,755477192.89639,1054591093.47617,1447521348.58202,0.1,0.102,1.22754545454545,1.35381818181818,2.06518181818182,9691.12,139.528691745172,94.4959090909091
"2009-08-01",41046090.1107627,100.484354816745,97.1192007831445,5.4,483395886.902874,757503115.821065,1056681312.65142,1450363642.77105,0.1,0.106,1.25995238095238,1.38990476190476,2.12047619047619,10430.350952381,137.964443869202,94.8380952380952
"2009-09-01",41180017.4962138,100.279054993351,97.0442874233518,5.4,483720999.723205,759043111.803999,1057627093.48296,1451834430.87023,0.1,0.102,1.17668421052632,1.31589473684211,2.05784210526316,10302.8694736842,141.669825362634,91.4931578947369
"2009-10-01",41221334.3318176,99.7647723029659,96.5698966400825,5.2,483462878.797225,761055024.824638,1059391187.55823,1454600327.38462,0.1,0.106,1.2042380952381,1.33414285714286,2.08247619047619,10066.2433333333,141.004187968604,90.2890476190476
"2009-11-01",41450326.6172356,99.8765291127871,96.7289080237983,5.2,484793855.009096,762679217.489478,1061383222.53634,1456398859.59017,0.1,0.105,1.24184210526316,1.36684210526316,2.08684210526316,9640.99157894737,141.80295284144,89.1905263157895
"2009-12-01",41450339.0509467,99.7934482629763,96.6411550051012,5.2,484745562.743877,763800492.501056,1062513803.76106,1460676705.27651,0.1,0.101,1.12385714285714,1.26266666666667,2.06561904761905,10169.0076190476,140.715745097858,89.5609523809524
"2010-01-01",41783112.2500723,99.9254825477994,96.8185288877576,5,485725250.305005,765967886.551584,1064903269.76399,1466808779.70758,0.1,0.096,1.19152631578947,1.33563157894737,2.12578947368421,10661.6231578947,138.119759261142,91.1589
"2010-02-01",41766211.0244702,99.7808676601397,96.7167218121659,5,485880137.973497,767380573.261917,1066530330.73428,1468052204.73042,0.1,0.101,1.19089473684211,1.34931578947368,2.15047368421053,10175.1289473684,140.682463228156,90.2837
"2010-03-01",41824228.7254576,99.6643400478384,96.7167218121659,5.1,486843982.287831,768349043.85167,1067351556.86178,1468230526.62058,0.1,0.097,1.18463636363636,1.34445454545455,2.15281818181818,10671.4904545455,139.57306757144,90.5177
"2010-04-01",42005486.4837679,99.3580562988459,96.6149147365741,5.1,489030498.485442,771376467.700333,1070975384.32427,1471501591.44657,0.1,0.093,1.19971428571429,1.35795238095238,2.11161904761905,11139.77,134.347814028308,93.3771
"2010-05-01",42065660.9215441,99.2440718591599,96.6149147365741,5.1,492301103.590353,775309901.12141,1075281189.7468,1478918405.83072,0.1,0.091,1.12372222222222,1.29266666666667,2.05566666666667,10103.9783333333,139.218060961291,91.7653
"2010-06-01",42165580.5946878,99.1845803975001,96.6149147365741,5.2,491314452.020263,775234029.352811,1075281284.86429,1478565300.89837,0.1,0.095,1.03336363636364,1.2065,1.96786363636364,9786.05454545455,142.313274843529,90.9214
"2010-07-01",42468316.485179,98.8347549255722,96.3094935097989,5,492578592.336665,776114155.362865,1076296466.63631,1479128252.96904,0.1,0.094,0.947190476190476,1.10652380952381,1.81447619047619,9456.83523809524,144.80941507114,87.707
