"date","pce_nom","gdp_nom","pce_defl","gdp_defl","cpi","ur","m1","m2","m3","policy","saron_1d","mmdrc_3m","gov_10y","smi","spi","reer","rrppi","xr_usd","hfwh","hhwh"
"1998-01-01",62729.85459688,109208.95600583,95.2117962592706,91.2730387733354,91.2588271586828,4.51239676666667,194123.06684017,396133.76628508,474789.610394671,1,0.875,1.084,3.05233333333333,6865.82258064516,4265.23612903226,87.9947046277304,62.1349989743703,1.47602,,
"1998-04-01",63085.44414612,110451.96981877,95.2891178460597,91.343354622106,91.2297296724644,3.96222790666667,189217.561131876,389864.78949413,472843.13545606,1,1.66666666666667,1.48533333333333,3.277,7568.18,4750.29266666667,85.8700182232719,61.729098864172,1.49315333333333,,
"1998-07-01",63306.41331361,110303.78972593,95.2154325627207,91.2386482009818,91.364737615431,3.50013139333333,193104.908666246,393223.890842121,473217.862146073,1,1.29166666666667,1.553,3.088,7402.72727272727,4644.23106060606,87.0761863513414,62.1653030176853,1.47043323333333,,
"1998-10-01",63769.54941175,109672.96736897,94.9411750388457,90.8730020017921,91.2658171963364,3.22118113666667,193894.405486261,392333.092781677,472640.591777016,1,1.04166666666667,1.14933333333333,2.761,6548.25555555556,4139.88095238095,90.0311348276961,62.0147322750523,1.35964666666667,,
"1999-01-01",64038.15299117,109896.6320139,95.0740516322847,90.947503903472,91.5559931224637,3.04028574666667,203324.461862508,401888.478337006,478642.656471321,1,1.04166666666667,1.00866666666667,2.56966666666667,7158.53650793651,4518.93095238095,88.9295666456922,62.4720622237748,1.42519333333333,,
"1999-04-01",64292.51883024,110483.40192244,95.1407673295656,90.8459513320215,91.7245876822164,2.78126788,211049.100979968,409503.201616411,479794.350602811,0.5,1.41666666666667,0.879,2.73033333333333,7137.56885245902,4606.52295081967,86.6250990839333,62.2598547977413,1.51396333333333,,
"1999-07-01",64782.86530078,111924.86786037,95.389888991469,91.51545376487,92.2710954755596,2.56365982,212080.927825896,410649.200638809,482628.433273321,0.5,0.972144,0.988666666666667,3.21333333333333,7011.27424242424,4610.12712121212,86.0301868906849,61.8313255585923,1.5281,,
"1999-10-01",65631.46805266,114707.91347452,95.6759398579371,91.5818810840834,92.5183644972387,2.34291363,206339.482477911,400304.585151047,479189.796381371,0.5,1.11320266666667,1.81766666666667,3.644,7222.05555555556,4770.47777777778,85.1999248187888,61.4851631839105,1.54136333333333,1499646,
"2000-01-01",65962.85917492,115870.39345097,96.0435414629076,91.9061405099309,93.0380009309652,1.97113454333333,206719.165374878,392596.012204066,472516.539306315,2.33333333333333,1.99459166666667,2.22,3.93566666666667,7138.4625,4870.855625,83.1308071356776,61.3429003382699,1.62846,1526980,
"2000-04-01",66457.00001119,116755.99816895,96.0285769663869,92.2064534409282,93.1385209039516,1.83812502666667,203193.554051636,385262.52120315,467910.952777641,3.16666666666667,2.88356266666667,2.944,4.09133333333333,7649.76666666667,5205.66916666667,83.6701506075786,61.0621725427565,1.67462333333333,1523407,
"2000-07-01",67195.47981364,118640.3739487,96.4198232187723,92.7694334169495,93.6802346814126,1.75934386,201653.38395489,379155.347690235,471236.513378272,3.5,2.96539333333333,3.27233333333333,3.92333333333333,8068.2578125,5566.32703125,83.755138063757,61.2129015310465,1.70728,1535839,
"2000-10-01",67559.78682808,120434.95426114,96.6356782570135,92.9557288476366,93.9552184345562,1.61940422333333,202081.435768345,377331.268038296,474016.638952486,3.5,3.13780733333333,3.28,3.75,7968.62857142857,5546.43206349206,84.2389128143106,59.6503839138542,1.74500666666667,1539840,959284
"2001-01-01",68123.02375739,120760.44169169,96.6835000544963,93.3921296643662,94.0352968420345,1.51551158666667,199812.478412937,369756.413390544,478493.363599893,3.41666666666667,3.28023966666667,3.19166666666667,3.43866666666667,7661.88095238095,5301.00904761905,85.5954433648495,60.8987839019067,1.66182,1513388,964597
