"date","pce_nom","gdp_nom","pce_defl","gdp_defl","cpi","ur","m1","m2","m3","policy","estr_1d","euribor_3m","gov_10y","sx5e","reer","rrppi","xr_usd","hfwh","hnfwh","hhwh"
"1988-04-01",516283.516734446,924890.622521045,54.0615425646643,54.7640703274866,54.7739581479333,8.6841268,854395,2100900,2262415,,,7.259836433,8.88293966666667,719.374314574315,,67.8356114846,0.822185654,,,7225831.59277197
"1988-07-01",528840.468974221,944717.293379769,54.5900440313512,55.2536614487457,55.2866219661892,8.5941732,869720,2139817,2315101,,,7.974392507,9.03412,778.319135140222,,69.5508362153645,0.897975375,,,7424120.84054638
"1988-10-01",538433.036963238,965921.508461728,55.1677244048284,55.9761394509392,55.7552985988189,8.4469168,882693,2173774,2358041,,,8.475422507,8.98069466666667,832.629812409813,,70.2794981543903,0.854518048,,,7658930.34861347
"1989-01-01",549921.130653495,989136.836181038,55.8068831250833,56.6559939958111,56.3431402974927,8.3483835,908243,2222161,2423922,,,9.515946624,9.40424633333333,877.179160079052,,71.6368881587833,0.887914719,,,7938665.24761839
"1989-04-01",561770.325683407,1007177.67605912,56.6555046025593,57.1460770469018,56.9817080958677,8.2299107,920566,2263203,2480570,,,9.691345081,9.62715933333333,917.023084980237,,72.6400163705327,0.930812455,,,8257581.90291275
"1989-07-01",573567.586526825,1023429.3028028,57.1826285557516,57.7230035949894,57.4779036597307,8.0910268,935497,2303555,2534023,,,10.102045947,9.60478033333333,1016.1971152519,,74.4441313616153,0.92723412,,,8609948.14985378
"1989-10-01",585897.165147529,1048200.44767793,57.8125071698295,58.5104275019056,58.0451339410646,7.9867324,956837,2343345,2593728,,,11.071902127,10.086688,1015.36841991342,,75.3806730811654,0.886625207,,,8990031.82379872
"1990-01-01",596324.151134028,1077525.25336962,58.3642343537272,59.3428124086822,58.642364808575,7.8520901,965508,2371264,2644762,,,11.225662452,10.8085433333333,1083.51576482213,,77.0931910439544,0.829506332,,,9369925.14539222
"1990-04-01",607051.273429976,1097893.4209851,59.0352913179851,60.1896987354174,59.1280824563495,7.7706158,1006819,2494707,2786501,,,10.618018136,10.7921866666667,1111.21272601794,,78.6756758731966,0.817833807,,,9754717.25963795
"1990-07-01",616610.150207094,1118332.30455217,59.7651505677735,60.74682087456,59.7797582064597,7.7116607,1028301,2539282,2846434,,,10.536336844,10.88659,1008.53918972332,,80.3605848026347,0.771308954,,,10127321.6968269
"1990-10-01",631113.704174582,1137908.79181682,60.63632318184,61.4624033196766,60.599229098649,7.6988552,1058884,2573883,2907362,,,11.046291096,10.9777133333333,884.776061547148,,80.2817637191858,0.731768528,,,10470651.9872502
"1991-01-01",643606.731576039,1161288.10405106,61.1647126172405,62.2947071383165,61.0824227465034,7.688798,1059848,2601696,2954443,,,11.096522687,10.55287,916.462271221532,,81.1454392448334,0.74555407,,,10769761.9168848
"1991-04-01",658024.250350841,1181375.4558984,62.0030017645924,63.1845659443988,61.6612004179435,7.7510563,1073039,2639742,3003602,,,10.461557802,10.0518556666667,1018.07114229249,,82.1770426556859,0.842030595,,,11036229.5831271
"1991-07-01",666574.237388605,1196135.94447038,63.016894478832,63.9916933197616,62.5594866452156,7.9038109,1081506,2672023,3064203,,,10.505995789,10.1427933333333,1004.16791956836,,82.8712745060622,0.849770515,,,11283773.3390594
"1991-10-01",685370.580336358,1225525.8511824,63.8925609614731,64.9463737343497,63.125369357915,8.0369296,1099507,2722085,3132988,,,10.732214711,9.89417533333333,991.892134073655,,83.2649468404303,0.797139024,,,11526111.5377641
"1992-01-01",695729.841289669,1253267.7666327,64.4677806348168,65.4288644980704,63.6487243978581,8.1348934,1100845,2747609,3174957,,,10.849247498,9.579858,1054.6565171278,,83.0117016286352,0.79200749,,,11759839.5283716
"1992-04-01",703240.496476149,1255307.07716251,65.0897536832135,66.0394256171,64.2647744815328,8.3521769,1109260,2784130,3249564,,,10.979088304,9.67607033333333,1080.35658730159,,83.1096866293512,0.786274587,,,11976472.2800336
"1992-07-01",707215.265174528,1262375.8371967,65.5766024251729,66.5977931999589,64.6830529569245,8.6860171,1128821,2836589,3332285,,,11.92840899,10.0521033333333,989.899467344251,,83.5951725334509,0.721535417,,,12150401.7579501
"1992-10-01",720456.593369745,1271137.46800002,66.2581403694818,67.1943819790526,65.1988148966503,9.0146738,1144131,2853356,3365086,,,11.451664051,10.0128636666667,989.93009097183,,83.0851091761329,0.78856373,,,12256019.9273211
"1993-01-01",719007.242349561,1278242.87479432,67.2449903264331,68.0335342783981,65.8355429304497,9.6384485,1152504,2905799,3441196,,,10.706122967,9.41717466666667,1089.85863768116,,82.0013192787113,0.839999215,,,12282766.4507434
"1993-04-01",725050.2180311,1290820.09402178,67.8218305740297,68.6520235692315,66.3844535474372,10.1108074,1166557,2950419,3479485,,,9.091223936,8.99260033333333,1124.74800865801,,82.3184442147301,0.828606611,,,12247370.6311119
"1993-07-01",733578.332019622,1304889.1144847,68.3988231696733,69.1137282539427,66.9271029499662,10.4595448,1183230,2989060,3515151,,,8.120099873,7.977857,1247.20757575758,,82.7649526599815,0.869361641,,,12181609.468719
"1993-10-01",744558.478880142,1318869.21488907,69.0338283209181,69.6717460849091,67.3669862163957,10.7773141,1221682,3067025,3588556,,,7.412128577,7.309124,1352.43397076353,,82.3379329441542,0.877188912,,,12117259.9638563
"1994-01-01",751850.254467391,1338566.77355144,69.6572049871871,70.0630908632593,67.8578101995385,10.9576398,1254183,3125371,3622879,,6.665,6.84,6.97333333333333,1411.42863699103,115.564243448859,81.5682364026187,0.888731456,,,12099199.5474912
