"date","pop","gdp_nom","gdp_defl","cpi","ur","narrow","broad","stir","ltir"
"1905-01-01",84.147,29066,5.0562759860475,3.72635360019378,4.3,2927.23958782901,12639.3598419699,4.44,3.43416666666667
"1906-01-01",85.77,31336,5.23475169291631,3.79649473837636,1.7,3166.48513106503,13576.3169255652,6.54,3.65
"1907-01-01",87.339,34178,5.80271013397688,3.97227012080981,2.8,3391.65740705188,13910.9444554207,7.01,3.85333333333333
"1908-01-01",89.055,30423,5.47200460006111,3.90212898262723,8,3574.6098812912,14876.583898718,1.92,3.76916666666667
"1909-01-01",90.845,32540,5.23234529637578,3.83156530746765,5.1,3616.82968303873,16042.9998599285,2.71,3.8975
"1910-01-01",92.767,33746,5.40429820133337,4.0073406899011,5.9,3701.2692865338,16702.6941330721,2.98,3.97416666666667
"1911-01-01",94.234,34675,5.38035746180649,4.0073406899011,6.7,3799.78215727804,17811.7453748789,2.57,4.0075
"1912-01-01",95.703,37745,5.53360129693895,4.11297493415197,4.6,2758.36038083887,18901.675043551,3.52,4.41333333333333
"1913-01-01",97.606,39517,5.57146530079396,4.18311607233456,4.3,3982.73463151736,19580.4908898293,3.22,4.18416666666667
"1914-01-01",99.505,36831,5.62954843797389,4.2253697700349,7.9,4236.05344200256,20221.0635898384,3.43,4.23333333333333
"1915-01-01",100.941,39048,5.7537539165993,4.26762346773524,8.5,4404.93264899269,22965.0093346533,1.92,4.06583333333333
"1916-01-01",102.364,50117,6.34239385525954,4.60565304933803,5.1,5038.2296752057,26703.2768824674,2.62,4.215
"1917-01-01",103.817,60278,7.63189817117442,5.40847330564466,4.6,6093.72471889405,30020.8698213203,3.43,4.54166666666667
"1918-01-01",104.958,76567,8.99570275545281,6.38030835275271,1.4,7501.05144381184,33338.4627601732,5.28,4.50583333333333
"1919-01-01",105.473,79090,9.57048016346419,7.30988970216039,1.4,7881.80232856334,38243.1462691978,6.32,4.93083333333333
"1920-01-01",106.881,89246,11.0391360502201,8.45073954006981,5.2,8173.19331179154,39887.6015587733,7.74,5.08
"1921-01-01",108.964,74314,9.53885550149867,7.56341188836247,11.7,6997.26881058622,37765.1069408329,5.97,4.36583333333333
"1922-01-01",110.484,74140,8.87174219260383,7.09862121365863,6.7,7321.03656972866,41962.2922438773,4.29,4.355
"1923-01-01",112.387,86238,9.03627015859923,7.22538230675968,2.4,7649.98461301737,44103.9084349524,4.86,4.085
"1924-01-01",114.558,87786,8.95981134752567,7.22538230675968,5,8013.89957429346,47775.2504767954,3.08,3.87666666666667
"1925-01-01",116.284,91449,9.12599192133742,7.3943970975611,3.2,8091.60383648764,51704.7337559555,4.18,3.695
"1926-01-01",117.857,97885,9.20917412432536,7.47890449296176,1.8,8104.55454685333,52670.3731992527,4.5,3.36833333333333
"1927-01-01",119.502,96466,9.02680318037766,7.35214339986072,3.3,8217.2257270349,55710.7033276539,4.06,3.33083333333333
"1928-01-01",120.971,98305,9.03205326249591,7.22538230675968,4.2,8134.34118069444,58378.1627799305,6.04,3.5775
"1929-01-01",122.245,104556,9.02003529596224,7.22538230675968,3.2,8091.60383648764,58234.750981421,7.61,3.31583333333333
"1930-01-01",123.668,92160,8.68996230149336,7.0563675159583,8.7,7976.34251423294,57183.064459018,2.94,3.33583333333333
"1931-01-01",124.633,77391,7.79679888417297,6.42256205045309,15.9,8484.01036056827,51293.6199335616,1.74,3.65166666666667
"1932-01-01",125.436,59522,6.88459463414958,5.78875658494783,23.6,9004.6289172693,47813.4936230646,2.05,3.34083333333333
"1933-01-01",126.18,57154,6.69344822773317,5.49298070104537,24.9,9341.34738677743,44132.5907946543,1.16,3.13583333333333
"1934-01-01",126.978,66800,7.0600691691185,5.66199549184675,21.7,11032.7101605375,48033.3917141125,1,2.8175
"1935-01-01",127.859,74241,7.20495655733816,5.78875658494783,20.1,13370.3133815459,53005.0007291082,0.56,2.66166666666667
"1936-01-01",128.681,84830,7.2930065483859,5.87326398034854,16.9,13490.7549879468,57584.6174948446,0.91,2.6775
"1937-01-01",129.464,93003,7.60588369647227,6.08453246885029,14.3,12195.6839513771,56628.5388381147,1,2.57
"1938-01-01",130.476,87352,7.38855745727502,5.95777137574925,19,15302.5593681079,59209.9512112855,1,2.37666666666667
"1939-01-01",131.539,93437,7.3161145846151,5.87326398034854,17.2,18808.3166641021,63913.8582023968,1,2.2225
"1940-01-01",132.637,102899,7.404170143009,5.91551767804888,14.6,22553.6621018618,70367.389135324,1,1.88
"1941-01-01",133.922,129309,7.90432216105221,6.21129356195134,9.9,21973.4702774786,76706.1906294435,1,2.07
"1942-01-01",135.386,165952,8.53268009446196,6.88735272515692,4.7,27149.8692106477,88389.4718146834,1,2.11
"1943-01-01",137.272,203084,8.92290189150452,7.30988970216039,1.9,31994.7299584551,112367.92452547,1,2.12
"1944-01-01",138.937,224447,9.13505848676887,7.43665079526143,1.2,38453.2492178283,130476.054283936,1,2.1
"1945-01-01",140.474,228007,9.37161679827015,7.60566558606285,1.9,43684.0411345334,150850.090458851,1,1.67
"1946-01-01",141.94,227535,10.5800977205799,8.23947105156806,3.9,44281.0688823921,162189.183327668,1.16,1.82
"1947-01-01",144.688,249616,11.7412398323953,9.42257458717782,3.9,44712.3275375698,170946.863823314,1.38,2.18
"1948-01-01",147.203,274468,12.399317476724,10.1454947062627,3.8,43807.0728830076,171616.118883025,1.55,2.12
"1949-01-01",149.77,272475,12.3783892912581,10.0459877054354,5.9,43156.9472226496,173882.467472868,1.63,1.8
"1950-01-01",152.271,299827,12.5317327950754,10.1528786179849,5.3,44075.1525875775,181559.365920626,1.63,2.18
"1951-01-01",154.878,346914,13.4201597799543,10.9591314550771,3.3,46022.9394265784,192424.422184848,2.17,2.51
"1952-01-01",157.553,367341,13.6527916953413,11.2094812239432,3,48029.0044622249,205153.963384792,2.48,2.52
"1953-01-01",160.184,389218,13.8181202868797,11.29457201617,2.9,48526.3117402677,215603.048182593,3.06,2.85222222222222
"1954-01-01",163.026,390549,13.9458522016683,11.335359338064,5.5,48917.4231933117,229301.6616169,1.00833333333333,2.40166666666667
"1955-01-01",165.931,425478,14.1813042333351,11.3061753060192,4.4,49425.0910396471,240837.359648907,1.785,2.81666666666667
"1956-01-01",168.903,449353,14.6643780521403,11.4728407420339,4.1,50234.5104375032,251486.764126442,2.72833333333333,3.1825
"1957-01-01",171.984,474039,15.1509745228588,11.8620783742455,4.3,50297.9689182951,262727.53037024,3.105,3.6475
